player,team,pos,nada,berry,cockcroft,espn,fp_best,fp_worst,sbn_jm,sbn_dg,sbn_sk,sbn_aw,y_ab,y_be,y_sp,y_ddd,y_ll
A.J. Green,CIN,WR,1,25,18,17,8,29,15,13,17,16,19,18,17,22,17
AJ McCarron,BUF,QB,1,,,,249,325,,,,,,,,,
ARI,ARI,DST,1,,,222,137,273,,,,,187,148,,,164
ATL,ATL,DST,1,,,253,141,290,,,,,184,154,166,187,145
Aaron Jones,GB,RB,1,105,107,147,44,219,113,119,114,106,,95,109,84,129
Aaron Rodgers,GB,QB,1,42,46,58,26,301,31,37,36,32,44,43,37,48,26
Adam Humphries,TB,WR,1,,,262,219,314,,,,,,,,,
Adam Shaheen,CHI,TE,1,,,,158,317,,,,,,,,,
Adam Thielen,MIN,WR,1,27,23,29,11,68,32,31,28,20,26,35,18,31,23
Adam Vinatieri,IND,K,1,,185,191,146,280,,,,,,,,203,
Adrian Peterson,WAS,RB,1,120,,142,84,271,,,,,89,,,106,112
Akrum Wadley,TEN,RB,1,,,,233,352,,,,,,,,,
Albert Wilson,MIA,WR,1,,,225,114,261,,,,,,,,,
Aldrick Robinson,SF,WR,1,,,,376,395,,,,,,,,,
Aldrick Rosas,NYG,K,1,,,,288,294,,,,,,,,,
Alex Collins,BAL,RB,1,35,44,47,22,75,34,58,35,30,35,51,41,40,54
Alex Smith,WAS,QB,1,102,157,136,68,314,120,118,121,128,135,85,106,111,98
Alfred Blue,HOU,RB,1,,,242,153,344,,,,,,,,153,
Alfred Morris,SF,RB,1,,,,126,359,,,,,,,,200,
Allen Hurns,DAL,WR,1,154,121,105,65,210,123,,115,111,156,,137,201,
Allen Robinson,CHI,WR,1,44,36,36,23,140,41,52,37,34,41,78,62,44,35
Alshon Jeffery,PHI,WR,1,52,59,43,31,166,38,32,40,40,82,97,95,74,166
Alvin Kamara,NO,RB,1,7,6,7,4,20,8,12,7,10,8,7,6,5,8
Amara Darboh,SEA,WR,1,,,,269,357,,,,,,,,,
Amari Cooper,OAK,WR,1,28,38,38,17,86,37,24,34,45,32,61,30,32,30
Ameer Abdullah,DET,RB,1,,,,175,340,,,,,,,,,
Andre Holmes,BUF,WR,1,,,,348,367,,,,,,,,,
Andrew Luck,IND,QB,1,78,106,91,41,306,110,117,93,86,83,99,94,100,94
Andy Dalton,CIN,QB,1,,,219,114,321,,140,,139,169,152,162,172,114
Anthony Miller,CHI,WR,1,147,141,138,96,234,,,,,152,,124,,
Antonio Brown,PIT,WR,1,5,4,5,1,9,5,4,5,3,5,4,5,8,2
Antonio Callaway,CLE,WR,1,,,251,129,335,,,,,,,,,
Antonio Gates,FA,TE,1,200,,292,146,263,,,,,,146,,,
ArDarius Stewart,NYJ,WR,1,,,,253,380,,,,,,,,,
Austin Ekeler,LAC,RB,1,180,199,205,102,286,,,,,,,,177,
Austin Hooper,ATL,TE,1,,190,198,121,274,,144,,,175,130,171,183,139
Austin Seferian-Jenkins,JAX,TE,1,158,150,196,90,251,,134,,,120,,145,141,144
BAL,BAL,DST,1,,149,173,122,258,,,,,164,142,156,178,132
BUF,BUF,DST,1,,,,142,322,,,,,,,,,
Baker Mayfield,CLE,QB,1,,,,195,331,,,,,,,,,
Ben Roethlisberger,PIT,QB,1,124,113,116,60,307,88,116,95,82,67,84,99,104,77
Benjamin Watson,NO,TE,1,171,178,169,118,241,,133,,,,124,172,122,155
Benny Cunningham,CHI,RB,1,,,,235,342,,,,,,,,,
Bilal Powell,NYJ,RB,1,128,142,154,67,219,134,129,133,123,133,,136,124,
Blair Walsh,FA,K,1,,,,201,335,,,,,,,,,
Blake Bortles,JAX,QB,1,162,,267,99,317,143,,142,135,158,113,131,115,146
Blake Jarwin,DAL,TE,1,,,258,143,342,,150,,,,,,,
Bo Scarbrough,DAL,RB,1,,,,211,413,,,,,,,,,
Boston Scott,NO,RB,1,193,,,302,333,,,,,,,,,
Brandin Cooks,LAR,WR,1,83,47,44,22,122,55,40,48,60,57,73,51,86,44
Brandon LaFell,FA,WR,1,,,,238,359,,,,,,,,,
Brandon Marshall,SEA,WR,1,,,229,131,285,,,,,,,,,
Brandon McManus,DEN,K,1,,,,151,316,,,,,,165,,,178
Braxton Miller,HOU,WR,1,,,,300,410,,,,,,,,,
Breshad Perriman,BAL,WR,1,,,,229,393,,,,,,,,,
Brice Butler,ARI,WR,1,146,,,184,391,,,,,,,,,
Bruce Ellington,HOU,WR,1,,,,256,363,,,,,,,,,
C.J. Anderson,CAR,RB,1,121,115,164,66,177,95,66,90,115,119,,86,142,95
C.J. Fiedorowicz,FA,TE,1,,,,150,252,,,,,,,,,
C.J. Prosise,SEA,RB,1,,,265,156,319,,,,,,,,,
CAR,CAR,DST,1,,183,183,133,312,,,,,173,,165,179,140
CHI,CHI,DST,1,,,286,140,274,,,,,,144,178,,147
CIN,CIN,DST,1,,,298,163,300,,,,,192,163,204,,179
CLE,CLE,DST,1,,,,197,347,,,,,199,,,,
Cairo Santos,FA,K,1,,,,168,328,,,,,,,,,
Caleb Sturgis,LAC,K,1,,,,198,345,,,,,,,,,
Calvin Ridley,ATL,WR,1,192,173,131,80,217,145,,,149,142,,,,
Cam Newton,CAR,QB,1,63,66,78,29,300,59,97,58,53,48,37,48,58,29
Cameron Artis-Payne,CAR,RB,1,,,,239,398,,,,,,,,,
Cameron Brate,TB,TE,1,155,168,168,94,266,138,147,138,,154,134,118,156,109
Cameron Meredith,NO,WR,1,96,118,108,87,233,101,,132,127,137,,132,,
Carlos Henderson,DEN,WR,1,,,,276,408,,,,,,,,,
Carlos Hyde,CLE,RB,1,62,86,74,36,129,92,70,94,137,63,55,73,85,87
Carson Wentz,PHI,QB,1,70,70,79,38,303,58,88,73,55,90,69,61,68,70
Case Keenum,DEN,QB,1,,,266,107,320,,,,122,186,120,151,131,121
Chad Williams,ARI,WR,1,,,,218,307,,,,,,,,,
Chandler Catanzaro,TB,K,1,,,,264,384,,,,,,,,,
Charles Clay,BUF,TE,1,145,125,145,102,197,148,143,,150,,105,122,191,111
Charles Sims,TB,RB,1,,,,151,303,,,,,,,,,
Chase Edmonds,ARI,RB,1,189,,203,132,279,,,,,,,,,
Chester Rogers,IND,WR,1,,,,191,307,,,,,,,,,
Chris Boswell,PIT,K,1,,170,186,139,238,,,,,189,155,185,195,154
Chris Carson,SEA,RB,1,61,67,85,44,216,146,125,134,,84,86,70,69,102
Chris Conley,KC,WR,1,,,,248,351,,,,,,,,,
Chris Godwin,TB,WR,1,163,169,129,90,234,,,,,148,,149,138,
Chris Herndon IV,NYJ,TE,1,,,,279,365,,,,,,,,,
Chris Hogan,NE,WR,1,41,52,53,31,129,77,60,63,50,47,68,44,35,32
Chris Ivory,BUF,RB,1,198,,204,124,268,,,,,,,,155,
Chris Moore,BAL,WR,1,,,,359,377,,,,,,,,,
Chris Thompson,WAS,RB,1,85,75,73,45,140,93,81,99,105,117,,96,96,125
Christian Kirk,ARI,WR,1,195,,167,105,244,,,,,,,,,
Christian McCaffrey,CAR,RB,1,12,17,18,9,48,19,35,26,33,24,33,16,14,48
Christine Michael,IND,RB,1,,,199,134,313,,,,,,,,,
Clive Walford,NYJ,TE,1,,,,278,333,,,,,,,,,
Cody Latimer,NYG,WR,1,,,,203,375,,,,,,,,,
Cody Parkey,CHI,K,1,,,,203,335,,,,,,,,,
Cole Beasley,DAL,WR,1,156,,215,101,268,,,,,,,,,
Cooper Kupp,LAR,WR,1,74,80,82,45,121,82,64,83,80,71,109,55,98,64
Cordarrelle Patterson,NE,WR,1,166,,,212,342,,,,,,,,,
Corey Clement,PHI,RB,1,148,145,156,87,235,137,,135,147,155,,130,189,
Corey Coleman,BUF,WR,1,,,231,112,273,,,,,,,192,,
Corey Davis,TEN,WR,1,64,51,67,36,122,70,67,67,66,52,36,60,81,40
Corey Grant,JAX,RB,1,,,250,165,290,,,,,,,,190,
Courtland Sutton,DEN,WR,1,149,,139,136,275,,,,,194,,,,
Curtis Samuel,CAR,WR,1,,,273,176,304,,,,,,,,,
D.J. Chark,JAX,WR,1,,,295,224,309,,,,,,,,,
D.J. Moore,CAR,WR,1,131,131,115,75,225,129,,131,141,85,,207,137,
DAL,DAL,DST,1,,,254,174,362,,,,,,,,,
DEN,DEN,DST,1,,172,180,118,230,,,,,147,123,150,144,126
DET,DET,DST,1,,,297,146,371,,,,,,158,,,
DOnta Foreman,HOU,RB,1,152,191,235,108,243,128,,140,145,,,,,
DaeSean Hamilton,DEN,WR,1,,,,222,347,,,,,,,,,
Dak Prescott,DAL,QB,1,165,162,151,89,315,119,124,124,125,118,116,120,133,127
Dallas Goedert,PHI,TE,1,,,,197,329,,,,,,,,,
Dalvin Cook,MIN,RB,1,18,12,12,7,42,17,21,15,11,14,14,20,20,42
Damien Williams,KC,RB,1,,,281,255,343,,,,,,,,,
Dan Bailey,DAL,K,1,,,223,138,277,,,,,188,138,197,,158
Daniel Carlson,MIN,K,1,,,255,187,360,,,,,195,,,199,
Danny Amendola,MIA,WR,1,118,189,111,100,233,,,,,127,,186,,
Dante Pettis,SF,WR,1,,,,165,287,,,,,,,,,
Darren Sproles,PHI,RB,1,177,,202,132,261,,,,,,,,,
Davante Adams,GB,WR,1,17,20,20,9,38,18,16,18,17,17,17,15,16,14
David Johnson,ARI,RB,1,3,3,3,1,9,4,3,4,5,3,6,2,3,1
David Njoku,CLE,TE,1,132,119,120,79,185,126,141,126,143,103,91,89,112,83
DeAndre Hopkins,HOU,WR,1,9,7,9,1,26,6,5,6,6,9,10,8,9,5
DeAndre Washington,OAK,RB,1,,,,196,320,,,,,,,,,
DeAngelo Henderson,DEN,RB,1,,,279,170,332,,,,,,,,,
DeSean Jackson,TB,WR,1,186,147,113,85,243,106,95,128,114,132,,141,,
DeVante Parker,MIA,WR,1,137,102,95,65,194,82,85,96,83,145,,194,180,
Dede Westbrook,JAX,WR,1,190,,,88,251,,,,,171,,135,160,
Delanie Walker,TEN,TE,1,71,74,65,45,108,75,50,78,81,88,70,68,90,89
Demarcus Robinson,KC,WR,1,,,,246,378,,,,,,,,,
Demaryius Thomas,DEN,WR,1,30,35,34,15,70,42,38,41,35,45,32,39,54,39
Demetrius Harris,KC,TE,1,,,,290,389,,,,,,,,,
Deonte Thompson,DAL,WR,1,,,,325,383,,,,,,,,,
Derek Carr,OAK,QB,1,,,244,107,316,141,128,145,129,139,137,129,146,137
Derrick Henry,TEN,RB,1,45,48,46,27,102,43,59,44,58,36,53,47,38,57
Derrius Guice,WAS,RB,1,,,,,,36,42,32,28,,,,,
Deshaun Watson,HOU,QB,1,65,78,81,38,301,62,68,60,54,59,40,64,47,53
Devin Funchess,CAR,WR,1,57,76,71,52,181,69,69,76,63,93,101,58,83,68
Devonta Freeman,ATL,RB,1,19,19,19,13,43,20,26,19,19,18,29,21,19,43
Devontae Booker,DEN,RB,1,150,120,144,76,282,131,,123,131,,,,125,
Dez Bryant,FA,WR,1,,192,141,53,287,,,150,,,,187,,
Dion Lewis,TEN,RB,1,46,56,50,26,124,56,61,57,71,54,48,49,53,80
Donte Moncrief,JAX,WR,1,,196,162,80,261,,,,,,,,,
Dontrelle Inman,FA,WR,1,,,,179,192,,,,,,,,,
Doug Baldwin,SEA,WR,1,22,30,35,16,48,25,10,27,23,33,28,32,42,25
Doug Martin,OAK,RB,1,160,171,148,130,246,147,115,,,,,,,
Drew Brees,NO,QB,1,67,100,127,47,302,74,65,68,64,51,54,53,61,47
Duke Johnson,CLE,RB,1,72,58,60,30,148,87,98,104,117,113,112,91,113,124
Dustin Hopkins,WAS,K,1,,,288,199,366,,,,,,,,,
Ed Dickson,SEA,TE,1,,,,189,322,,,,,,,,,
Eli Manning,NYG,QB,1,,,243,112,319,,136,,142,125,135,158,166,115
Elijah McGuire,NYJ,RB,1,,,208,146,291,,,,,,,,,
Emmanuel Sanders,DEN,WR,1,53,65,57,41,127,84,33,74,70,68,72,72,73,66
Equanimeous St. Brown,GB,WR,1,,,261,247,387,,,,,,,,,
Eric Decker,NE,WR,1,,,214,,,,,,,,,,,
Eric Ebron,IND,TE,1,181,195,246,90,220,,,147,,146,,155,149,122
Evan Engram,NYG,TE,1,89,61,66,34,128,57,131,70,91,78,67,50,66,34
Ezekiel Elliott,DAL,RB,1,4,5,4,1,11,3,2,3,4,4,3,4,4,6
Frank Gore,MIA,RB,1,174,193,236,105,242,,,,,,,,,
GB,GB,DST,1,,,285,157,298,,,,,183,166,188,169,157
Garrett Celek,SF,TE,1,,,,208,328,,,,,,,,,
George Kittle,SF,TE,1,111,123,161,77,170,121,132,118,112,106,100,117,77,97
Gerald Everett,LAR,TE,1,,,293,176,282,,,,,,,,,177
Geronimo Allison,GB,WR,1,157,,233,91,264,,,,,,,,,
Giovani Bernard,CIN,RB,1,164,116,122,90,222,132,94,130,136,97,,,168,
Golden Tate,DET,WR,1,50,37,37,28,70,47,36,49,52,40,42,28,60,28
Graham Gano,CAR,K,1,,188,192,148,286,,,,,,164,199,,168
Greg Olsen,CAR,TE,1,69,55,64,41,115,63,72,66,84,65,62,77,50,69
Greg Zuerlein,LAR,K,1,,152,175,124,239,,,,,159,128,153,158,130
HOU,HOU,DST,1,,146,174,120,233,,,,,157,133,139,143,120
Harrison Butker,KC,K,1,,181,190,141,269,,,,,185,161,161,196,161
Hayden Hurst,BAL,TE,1,,,249,117,273,150,,,,,,,,167
IND,IND,DST,1,,,,365,404,,,,,,,,,
Isaiah Crowell,NYJ,RB,1,51,64,62,54,190,89,62,84,88,114,82,79,110,107
Ito Smith,ATL,RB,1,,,,253,388,,,,,,,,,
J.D. McKissic,SEA,RB,1,,,,285,353,,,,,,,,,
J.J. Nelson,ARI,WR,1,,,284,190,306,,,,,,,,,
JAC,JAX,DST,1,,,153,105,226,,,,,126,107,127,123,105
JAX,JAX,DST,1,,130,,,,,,,,,,,,
JMon Moore,GB,WR,1,,,252,267,382,,,,,,,,,
Jack Doyle,IND,TE,1,101,105,118,67,159,118,91,120,120,115,115,85,102,92
Jacoby Brissett,IND,QB,1,,,,300,416,,,,,,,,,
Jacquizz Rodgers,TB,RB,1,,,277,202,350,,,,,,,,,
Jake Butt,DEN,TE,1,,,259,140,284,,149,,,140,,,,159
Jake Elliott,PHI,K,1,,174,188,138,254,,,,,176,159,179,164,141
Jakeem Grant,MIA,WR,1,,,,202,382,,,,,,,,,
Jalen Richard,OAK,RB,1,,,283,167,349,,,,,,,,,
Jamaal Williams,GB,RB,1,91,93,97,58,152,86,102,88,96,102,102,100,76,103
Jameis Winston,TB,QB,1,,167,245,93,322,,137,,130,153,145,184,163,134
James Conner,PIT,RB,1,182,,209,124,314,,,,,,,,135,
James Washington,PIT,WR,1,170,200,132,104,273,,,,,,,,,
James White,NE,RB,1,142,104,98,68,216,149,,148,144,143,149,,197,
Jamison Crowder,WAS,WR,1,77,72,83,52,132,97,73,91,93,73,79,52,82,52
Jared Cook,OAK,TE,1,,144,211,113,235,,145,,,130,139,140,174,123
Jared Goff,LAR,QB,1,136,153,152,81,313,108,110,116,103,104,103,116,107,88
Jaron Brown,SEA,WR,1,,,,205,295,,,,,,,,,
Jarvis Landry,CLE,WR,1,49,39,40,20,74,72,48,64,74,49,64,35,39,33
Javorius Allen,BAL,RB,1,175,,200,89,283,,,,,,,,,
Jay Ajayi,PHI,RB,1,43,50,48,18,82,45,43,42,43,34,41,56,36,71
Jaylen Samuels,PIT,RB,1,194,,,,,,,,,,,,,
Jaylen Samuels,PIT,TE,1,,,,190,363,,,,,,,,,
Jeff Heuerman,DEN,TE,1,,,,285,385,,,,,,,,,
Jeremy Hill,NE,RB,1,159,,143,128,283,,,,,,,,,
Jeremy Kerley,BUF,WR,1,,,,197,343,,,,,,,,,
Jeremy Maclin,FA,WR,1,,,,127,259,,,,,,,,,
Jerick McKinnon,SF,RB,1,26,26,25,16,71,22,46,23,22,53,44,27,18,49
Jermaine Gresham,ARI,TE,1,,,,265,379,,,,,,,,,
Jermaine Kearse,NYJ,WR,1,,,232,126,283,,,,,,,,,
Jesse James,PIT,TE,1,,,,190,341,,,,,,,190,,
Jimmy Garoppolo,SF,QB,1,88,133,135,61,309,103,105,105,100,107,92,87,63,65
Jimmy Graham,GB,TE,1,103,94,75,26,109,60,107,72,78,60,26,59,78,50
Joe Flacco,BAL,QB,1,,,268,143,325,,,,,,,198,209,148
Joe Mixon,CIN,RB,1,21,28,26,18,51,28,54,25,31,23,25,45,37,45
Joe Williams,SF,RB,1,,,278,203,345,,,,,,,,,
John Brown,BAL,WR,1,130,176,137,86,244,,,,,105,,,181,
John Kelly,LAR,RB,1,,,240,188,318,,,,,,,,210,
John Ross,CIN,WR,1,168,182,130,80,285,,,,,,,163,,
Jonathan Stewart,NYG,RB,1,,,237,176,335,,,,,,,,,
Jonathan Williams,NO,RB,1,,,241,128,323,,,,,,,,202,
Jonnu Smith,TEN,TE,1,,,,165,369,,,,,,,,,165
Jordan Akins,HOU,TE,1,,,,202,395,,,,,,,,,
Jordan Howard,CHI,RB,1,39,33,31,18,80,23,25,20,25,29,24,26,25,46
Jordan Leggett,NYJ,TE,1,,,,288,390,,,,,,,,,
Jordan Matthews,FA,WR,1,,,,125,386,,,,,,,167,,
Jordan Reed,WAS,TE,1,76,110,90,40,145,125,130,110,119,100,87,101,109,90
Jordan Wilkins,IND,RB,1,116,101,125,99,251,,,,,,111,,117,160
Jordy Nelson,OAK,WR,1,176,97,101,40,192,98,90,108,109,92,110,93,101,162
Josh Allen,BUF,QB,1,,,296,163,326,,,,,,,203,,
Josh Doctson,WAS,WR,1,104,112,94,85,246,114,114,127,121,128,,114,170,
Josh Gordon,CLE,WR,1,40,41,39,14,92,46,34,50,37,37,21,83,67,24
Josh Hill,NO,TE,1,,,,208,294,,,,,,,,,
Josh Lambo,JAX,K,1,,,287,182,324,,,,,,,,208,
Josh McCown,NYJ,QB,1,,,,180,310,,138,,,,,205,,180
Josh Reynolds,LAR,WR,1,,,,278,381,,,,,,,,,
Josh Rosen,ARI,QB,1,,,,187,353,,,,,,,,,
JuJu Smith-Schuster,PIT,WR,1,48,40,54,30,77,48,28,45,49,38,39,34,33,37
Julian Edelman,NE,WR,1,98,90,84,56,175,124,78,107,90,108,160,104,130,175
Julio Jones,ATL,WR,1,15,10,8,4,18,11,6,10,8,13,12,11,10,11
Justin Hardy,ATL,WR,1,,,,364,374,,,,,,,,,
Justin Jackson,LAC,RB,1,,,,253,331,,,,,,,,,
Justin Tucker,BAL,K,1,,155,177,123,244,,,,,163,131,154,159,131
KC,KC,DST,1,,,299,135,318,,,,,179,,195,193,153
Kai Forbath,FA,K,1,,,,154,290,,,,,,,,,
Kaimi Fairbairn,HOU,K,1,,,,169,284,,,,,,,,206,
Kalen Ballage,MIA,RB,1,140,,280,100,286,,,,,,,,,
Kapri Bibbs,WAS,RB,1,,,,244,349,,,,,,,,,
Kareem Hunt,KC,RB,1,8,9,11,7,38,10,14,11,14,7,13,9,7,38
Keelan Cole,JAX,WR,1,196,,159,99,233,,,,,160,,107,105,
Keenan Allen,LAC,WR,1,16,16,13,6,22,16,8,16,13,16,15,14,17,13
Keith Smith,OAK,RB,1,,,,287,324,,,,,,,,,
Keke Coutee,HOU,WR,1,,,294,220,305,,,,,,,,,
Kelvin Benjamin,BUF,WR,1,87,95,92,59,201,116,,106,99,121,,112,165,
Kendall Wright,MIN,WR,1,,,,169,329,,,,,,,,,
Kenneth Dixon,BAL,RB,1,199,184,165,105,299,,,,,,,,,
Kenny Britt,FA,WR,1,,,,180,383,,,,,,,,,
Kenny Golladay,DET,WR,1,97,122,107,88,188,144,,122,,109,,113,148,
Kenny Stills,MIA,WR,1,113,108,102,48,209,117,,101,116,91,,98,108,184
Kenyan Drake,MIA,RB,1,56,42,42,24,83,30,39,43,36,43,38,43,24,78
Kerryon Johnson,DET,RB,1,108,89,87,42,145,90,79,85,92,76,59,105,59,84
Kevin White,CHI,WR,1,,,,182,394,,,,,,,,,
Kirk Cousins,MIN,QB,1,109,103,117,44,304,73,121,77,67,81,57,69,75,58
Kyle Juszczyk,SF,RB,1,,,,149,339,,,,,,,,,
Kyle Rudolph,MIN,TE,1,80,87,100,43,136,81,84,81,79,87,75,74,97,76
LAC,LAC,DST,1,,154,179,116,232,,,,,134,125,134,152,116
LAR,LAR,DST,1,,139,171,113,227,,,,,141,114,121,136,113
Lamar Jackson,BAL,QB,1,,,,179,331,,,,,,,,,
Lamar Miller,HOU,RB,1,36,53,51,23,94,50,56,46,46,46,56,57,49,60
Lance Kendricks,GB,TE,1,,,,352,358,,,,,,,,,
Laquon Treadwell,MIN,WR,1,,,275,239,346,,,,,,,,,
Larry Fitzgerald,ARI,WR,1,29,27,27,6,46,35,29,38,41,27,22,29,34,22
Latavius Murray,MIN,RB,1,106,137,155,92,251,142,104,136,,,,,103,
LeGarrette Blount,DET,RB,1,135,175,201,102,272,133,120,143,132,,118,,186,
LeSean McCoy,BUF,RB,1,20,25,23,12,84,26,41,33,39,42,34,75,43,62
LeVeon Bell,PIT,RB,1,1,1,1,1,7,2,7,2,2,2,2,3,2,3
Leonard Fournette,JAX,RB,1,14,13,14,7,38,13,17,13,12,12,8,38,12,15
Luke Willson,DET,TE,1,,,,121,275,,,,,,,,,
MIA,MIA,DST,1,,,,332,378,,,,,,,,,
MIN,MIN,DST,1,,143,172,110,228,,,,,129,119,128,126,110
Mack Hollins,PHI,WR,1,,,,123,369,,,,,,,,,
Malcolm Brown,LAR,RB,1,,,,287,348,,,,,,,,,
Malcolm Mitchell,FA,WR,1,,,,216,364,,,,,,,,,
Marcus Mariota,TEN,QB,1,153,151,150,76,312,105,112,119,87,111,76,78,121,86
Mark Andrews,BAL,TE,1,,,,235,338,,,,,,,,,
Mark Ingram,NO,RB,1,81,62,52,35,132,51,111,54,68,56,47,90,52,75
Mark Walton,CIN,RB,1,,,276,195,397,,,,,,,,,
Marlon Mack,IND,RB,1,92,98,123,48,185,78,103,82,89,144,,115,147,142
Marqise Lee,JAX,WR,1,99,111,103,,,115,76,113,108,,,,,
Marquez Valdes-Scantling,GB,WR,1,,,260,,,,,,,,,,,
Marquise Goodwin,SF,WR,1,75,63,68,37,164,96,87,89,98,61,65,84,41,56
Marshawn Lynch,OAK,RB,1,59,79,49,36,134,68,63,62,61,62,80,66,64,85
Martavis Bryant,OAK,WR,1,161,,217,92,252,136,92,,134,,,,,
Marvin Jones,DET,WR,1,68,43,41,31,86,52,49,47,44,55,77,36,57,63
Mason Crosby,GB,K,1,,,256,145,255,,,,,191,162,193,,163
Matt Breida,SF,RB,1,112,156,149,88,275,,,,,,,,129,
Matt Bryant,ATL,K,1,,161,184,126,253,,,,,167,136,169,167,135
Matt Prater,DET,K,1,,177,189,134,247,,,,,182,150,164,182,150
