layer,Team,Pos,Berry Rank
LeVeon Bell,PIT,RB,1
Todd Gurley II,LAR,RB,2
David Johnson,ARI,RB,3
Ezekiel Elliott,DAL,RB,4
Antonio Brown,PIT,WR,5
Saquon Barkley,NYG,RB,6
Alvin Kamara,NO,RB,7
Kareem Hunt,KC,RB,8
DeAndre Hopkins,HOU,WR,9
Michael Thomas,NO,WR,10
Melvin Gordon,LAC,RB,11
Christian McCaffrey,CAR,RB,12
Odell Beckham Jr.,NYG,WR,13
Leonard Fournette,JAC,RB,14
Julio Jones,ATL,WR,15
Keenan Allen,LAC,WR,16
Davante Adams,GB,WR,17
Dalvin Cook,MIN,RB,18
Devonta Freeman,ATL,RB,19
LeSean McCoy,BUF,RB,20
Joe Mixon,CIN,RB,21
Doug Baldwin,SEA,WR,22
Mike Evans,TB,WR,23
Rob Gronkowski,NE,TE,24
A.J. Green,CIN,WR,25
Jerick McKinnon,SF,RB,26
Adam Thielen,MIN,WR,27
Amari Cooper,OAK,WR,28
Larry Fitzgerald,ARI,WR,29
Demaryius Thomas,DEN,WR,30
Travis Kelce,KC,TE,31
Tyreek Hill,KC,WR,32
Stefon Diggs,MIN,WR,33
Royce Freeman,DEN,RB,34
Alex Collins,BAL,RB,35
Lamar Miller,HOU,RB,36
Zach Ertz,PHI,TE,37
T.Y. Hilton,IND,WR,38
Jordan Howard,CHI,RB,39
Josh Gordon,CLE,WR,40
Chris Hogan,NE,WR,41
Aaron Rodgers,GB,QB,42
Jay Ajayi,PHI,RB,43
Allen Robinson,CHI,WR,44
Derrick Henry,TEN,RB,45
Dion Lewis,TEN,RB,46
Tom Brady,NE,QB,47
JuJu Smith-Schuster,PIT,WR,48
Jarvis Landry,CLE,WR,49
Golden Tate,DET,WR,50
Isaiah Crowell,NYJ,RB,51
Alshon Jeffery,PHI,WR,52
Emmanuel Sanders,DEN,WR,53
Rex Burkhead,NE,RB,54
Russell Wilson,SEA,QB,55
Kenyan Drake,MIA,RB,56
Devin Funchess,CAR,WR,57
Michael Crabtree,BAL,WR,58
Marshawn Lynch,OAK,RB,59
Sony Michel,NE,RB,60
Chris Carson,SEA,RB,61
Carlos Hyde,CLE,RB,62
Cam Newton,CAR,QB,63
Corey Davis,TEN,WR,64
Deshaun Watson,HOU,QB,65
Robert Woods,LAR,WR,66
Drew Brees,NO,QB,67
Marvin Jones Jr.,DET,WR,68
Greg Olsen,CAR,TE,69
Carson Wentz,PHI,QB,70
Delanie Walker,TEN,TE,71
Duke Johnson Jr.,CLE,RB,72
Trey Burton,CHI,TE,73
Cooper Kupp,LAR,WR,74
Marquise Goodwin,SF,WR,75
Jordan Reed,WAS,TE,76
Jamison Crowder,WAS,WR,77
Andrew Luck,IND,QB,78
Robby Anderson,NYJ,WR,79
Kyle Rudolph,MIN,TE,80
Mark Ingram,NO,RB,81
Pierre Garcon,SF,WR,82
Brandin Cooks,LAR,WR,83
Tarik Cohen,CHI,RB,84
Chris Thompson,WAS,RB,85
Peyton Barber,TB,RB,86
Kelvin Benjamin,BUF,WR,87
Jimmy Garoppolo,SF,QB,88
Evan Engram,NYG,TE,89
Sammy Watkins,KC,WR,90
Jamaal Williams,GB,RB,91
Marlon Mack,IND,RB,92
Randall Cobb,GB,WR,93
Will Fuller V,HOU,WR,94
Rashaad Penny,SEA,RB,95
Cameron Meredith,NO,WR,96
Kenny Golladay,DET,WR,97
Julian Edelman,NE,WR,98
Marqise Lee,JAC,WR,99
Matthew Stafford,DET,QB,100
Jack Doyle,IND,TE,101
Alex Smith,WAS,QB,102
Jimmy Graham,GB,TE,103
Josh Doctson,WAS,WR,104
Aaron Jones,GB,RB,105
Latavius Murray,MIN,RB,106
Mike Williams,LAC,WR,107
Kerryon Johnson,DET,RB,108
Kirk Cousins,MIN,QB,109
Ronald Jones II,TB,RB,110
George Kittle,SF,TE,111
Matt Breida,SF,RB,112
Kenny Stills,MIA,WR,113
Philip Rivers,LAC,QB,114
Nelson Agholor,PHI,WR,115
Jordan Wilkins,IND,RB,116
Tyler Eifert,CIN,TE,117
Danny Amendola,MIA,WR,118
Sterling Shepard,NYG,WR,119
Adrian Peterson,WAS,RB,120
C.J. Anderson,CAR,RB,121
Michael Gallup,DAL,WR,122
Tevin Coleman,ATL,RB,123
Ben Roethlisberger,PIT,QB,124
Matt Ryan,ATL,QB,125
Ryan Grant,IND,WR,126
Nick Chubb,CLE,RB,127
Bilal Powell,NYJ,RB,128
Tyrod Taylor,CLE,QB,129
John Brown,BAL,WR,130
DJ Moore,CAR,WR,131
David Njoku,CLE,TE,132
Patrick Mahomes,KC,QB,133
Nyheim Hines,IND,RB,134
LeGarrette Blount,DET,RB,135
Jared Goff,LAR,QB,136
DeVante Parker,MIA,WR,137
Rishard Matthews,TEN,WR,138
Willie Snead,BAL,WR,139
Kalen Ballage,MIA,RB,140
Theo Riddick,DET,RB,141
James White,NE,RB,142
Vernon Davis,WAS,TE,143
Ty Montgomery,GB,RB,144
Charles Clay,BUF,TE,145
Brice Butler,ARI,WR,146
Anthony Miller,CHI,WR,147
Corey Clement,PHI,RB,148
Courtland Sutton,DEN,WR,149
Devontae Booker,DEN,RB,150
Vance McDonald,PIT,TE,151
DOnta Foreman,HOU,RB,152
Marcus Mariota,TEN,QB,153
Allen Hurns,DAL,WR,154
Cameron Brate,TB,TE,155
Cole Beasley,DAL,WR,156
Geronimo Allison,GB,WR,157
Austin Seferian-Jenkins,JAC,TE,158
Jeremy Hill,NE,RB,159
Doug Martin,OAK,RB,160
Martavis Bryant,OAK,WR,161
Blake Bortles,JAC,QB,162
Chris Godwin,TB,WR,163
Giovani Bernard,CIN,RB,164
Dak Prescott,DAL,QB,165
Cordarrelle Patterson,NE,WR,166
Ricky Seals-Jones,ARI,TE,167
John Ross,CIN,WR,168
Rob Kelley,WAS,RB,169
James Washington,PIT,WR,170
