Player,Team,Pos,Cockcroft Rank
LeVeon Bell,PIT,RB,1
Todd Gurley II,LAR,RB,2
David Johnson,ARI,RB,3
Antonio Brown,PIT,WR,4
Ezekiel Elliott,DAL,RB,5
Alvin Kamara,NO,RB,6
DeAndre Hopkins,HOU,WR,7
Saquon Barkley,NYG,RB,8
Kareem Hunt,KC,RB,9
Julio Jones,ATL,WR,10
Odell Beckham Jr.,NYG,WR,11
Dalvin Cook,MIN,RB,12
Leonard Fournette,JAX,RB,13
Michael Thomas,NO,WR,14
Melvin Gordon,LAC,RB,15
Keenan Allen,LAC,WR,16
Christian McCaffrey,CAR,RB,17
A.J. Green,CIN,WR,18
Devonta Freeman,ATL,RB,19
Davante Adams,GB,WR,20
Mike Evans,TB,WR,21
Rob Gronkowski,NE,TE,22
Adam Thielen,MIN,WR,23
T.Y. Hilton,IND,WR,24
LeSean McCoy,BUF,RB,25
Jerick McKinnon,SF,RB,26
Larry Fitzgerald,ARI,WR,27
Joe Mixon,CIN,RB,28
Zach Ertz,PHI,TE,29
Doug Baldwin,SEA,WR,30
Travis Kelce,KC,TE,31
Tyreek Hill,KC,WR,32
Jordan Howard,CHI,RB,33
Stefon Diggs,MIN,WR,34
Demaryius Thomas,DEN,WR,35
Allen Robinson,CHI,WR,36
Golden Tate,DET,WR,37
Amari Cooper,OAK,WR,38
Jarvis Landry,CLE,WR,39
JuJu Smith-Schuster,PIT,WR,40
Josh Gordon,CLE,WR,41
Kenyan Drake,MIA,RB,42
Marvin Jones Jr.,DET,WR,43
Alex Collins,BAL,RB,44
Royce Freeman,DEN,RB,45
Aaron Rodgers,GB,QB,46
Brandin Cooks,LAR,WR,47
Derrick Henry,TEN,RB,48
Michael Crabtree,BAL,WR,49
Jay Ajayi,PHI,RB,50
Corey Davis,TEN,WR,51
Chris Hogan,NE,WR,52
Lamar Miller,HOU,RB,53
Robert Woods,LAR,WR,54
Greg Olsen,CAR,TE,55
Dion Lewis,TEN,RB,56
Russell Wilson,SEA,QB,57
Duke Johnson Jr.,CLE,RB,58
Alshon Jeffery,PHI,WR,59
Sammy Watkins,KC,WR,60
Evan Engram,NYG,TE,61
Mark Ingram,NO,RB,62
Marquise Goodwin,SF,WR,63
Isaiah Crowell,NYJ,RB,64
Emmanuel Sanders,DEN,WR,65
Cam Newton,CAR,QB,66
Chris Carson,SEA,RB,67
Tom Brady,NE,QB,68
Rex Burkhead,NE,RB,69
Carson Wentz,PHI,QB,70
Rashaad Penny,SEA,RB,71
Jamison Crowder,WSH,WR,72
Tevin Coleman,ATL,RB,73
Delanie Walker,TEN,TE,74
Chris Thompson,WSH,RB,75
Devin Funchess,CAR,WR,76
Randall Cobb,GB,WR,77
Deshaun Watson,HOU,QB,78
Marshawn Lynch,OAK,RB,79
Cooper Kupp,LAR,WR,80
Robby Anderson,NYJ,WR,81
Sony Michel,NE,RB,82
Ronald Jones II,TB,RB,83
Pierre Garcon,SF,WR,84
Tarik Cohen,CHI,RB,85
Carlos Hyde,CLE,RB,86
Kyle Rudolph,MIN,TE,87
Will Fuller V,HOU,WR,88
Kerryon Johnson,DET,RB,89
Julian Edelman,NE,WR,90
Peyton Barber,TB,RB,91
Trey Burton,CHI,TE,92
Jamaal Williams,GB,RB,93
Jimmy Graham,GB,TE,94
Kelvin Benjamin,BUF,WR,95
Sterling Shepard,NYG,WR,96
Jordy Nelson,OAK,WR,97
Marlon Mack,IND,RB,98
Nelson Agholor,PHI,WR,99
Drew Brees,NO,QB,100
Jordan Wilkins,IND,RB,101
DeVante Parker,MIA,WR,102
Kirk Cousins,MIN,QB,103
James White,NE,RB,104
Jack Doyle,IND,TE,105
Andrew Luck,IND,QB,106
Aaron Jones,GB,RB,107
Kenny Stills,MIA,WR,108
Matthew Stafford,DET,QB,109
Jordan Reed,WSH,TE,110
Marqise Lee,JAX,WR,111
Josh Doctson,WSH,WR,112
Ben Roethlisberger,PIT,QB,113
Rishard Matthews,TEN,WR,114
C.J. Anderson,CAR,RB,115
Giovani Bernard,CIN,RB,116
Ty Montgomery,GB,RB,117
Cameron Meredith,NO,WR,118
David Njoku,CLE,TE,119
Devontae Booker,DEN,RB,120
Allen Hurns,DAL,WR,121
Kenny Golladay,DET,WR,122
George Kittle,SF,TE,123
Theo Riddick,DET,RB,124
Charles Clay,BUF,TE,125
Patrick Mahomes,KC,QB,126
Mohamed Sanu,ATL,WR,127
Nyheim Hines,IND,RB,128
Philip Rivers,LAC,QB,129
Jaguars D/ST,JAX,DST,130
D.J. Moore,CAR,WR,131
Tyler Eifert,CIN,TE,132
Jimmy Garoppolo,SF,QB,133
Nick Chubb,CLE,RB,134
Mike Williams,LAC,WR,135
Eagles D/ST,PHI,DST,136
Latavius Murray,MIN,RB,137
Paul Richardson,WSH,WR,138
Rams D/ST,LAR,DST,139
O.J. Howard,TB,TE,140
Anthony Miller,CHI,WR,141
Bilal Powell,NYJ,RB,142
Vikings D/ST,MIN,DST,143
Jared Cook,OAK,TE,144
Corey Clement,PHI,RB,145
Texans D/ST,HOU,DST,146
DeSean Jackson,TB,WR,147
Matt Ryan,ATL,QB,148
Ravens D/ST,BAL,DST,149
Austin Seferian-Jenkins,JAX,TE,150
Marcus Mariota,TEN,QB,151
Greg Zuerlein,LAR,K,152
Jared Goff,LAR,QB,153
Chargers D/ST,LAC,DST,154
Justin Tucker,BAL,K,155
Matt Breida,SF,RB,156
Alex Smith,WSH,QB,157
Stephen Gostkowski,NE,K,158
Tyler Lockett,SEA,WR,159
Patriots D/ST,NE,DST,160
Matt Bryant,ATL,K,161
Dak Prescott,DAL,QB,162
Wil Lutz,NO,K,163
Mitchell Trubisky,CHI,QB,164
Michael Gallup,DAL,WR,165
Robbie Gould,SF,K,166
Jameis Winston,TB,QB,167
Cameron Brate,TB,TE,168
Chris Godwin,TB,WR,169
Chris Boswell,PIT,K,170
