Player,Team,Pos,ESPN Rank
LeVeon Bell,PIT,RB,1
Todd Gurley II,LAR,RB,2
David Johnson,ARI,RB,3
Ezekiel Elliott,DAL,RB,4
Antonio Brown,PIT,WR,5
Saquon Barkley,NYG,RB,6
Alvin Kamara,NO,RB,7
Julio Jones,ATL,WR,8
DeAndre Hopkins,HOU,WR,9
Odell Beckham Jr.,NYG,WR,10
Kareem Hunt,KC,RB,11
Dalvin Cook,MIN,RB,12
Keenan Allen,LAC,WR,13
Leonard Fournette,JAC,RB,14
Melvin Gordon,LAC,RB,15
Michael Thomas,NO,WR,16
A.J. Green,CIN,WR,17
Christian McCaffrey,CAR,RB,18
Devonta Freeman,ATL,RB,19
Davante Adams,GB,WR,20
Rob Gronkowski,NE,TE,21
Mike Evans,TB,WR,22
LeSean McCoy,BUF,RB,23
Travis Kelce,KC,TE,24
Jerick McKinnon,SF,RB,25
Joe Mixon,CIN,RB,26
Larry Fitzgerald,ARI,WR,27
T.Y. Hilton,IND,WR,28
Adam Thielen,MIN,WR,29
Stefon Diggs,MIN,WR,30
Jordan Howard,CHI,RB,31
Zach Ertz,PHI,TE,32
Tyreek Hill,KC,WR,33
Demaryius Thomas,DEN,WR,34
Doug Baldwin,SEA,WR,35
Allen Robinson,CHI,WR,36
Golden Tate,DET,WR,37
Amari Cooper,OAK,WR,38
Josh Gordon,CLE,WR,39
Jarvis Landry,CLE,WR,40
Marvin Jones Jr.,DET,WR,41
Kenyan Drake,MIA,RB,42
Alshon Jeffery,PHI,WR,43
Brandin Cooks,LAR,WR,44
Royce Freeman,DEN,RB,45
Derrick Henry,TEN,RB,46
Alex Collins,BAL,RB,47
Jay Ajayi,PHI,RB,48
Marshawn Lynch,OAK,RB,49
Dion Lewis,TEN,RB,50
Lamar Miller,HOU,RB,51
Mark Ingram,NO,RB,52
Chris Hogan,NE,WR,53
JuJu Smith-Schuster,PIT,WR,54
Robert Woods,LAR,WR,55
Michael Crabtree,BAL,WR,56
Emmanuel Sanders,DEN,WR,57
Aaron Rodgers,GB,QB,58
Tom Brady,NE,QB,59
Duke Johnson Jr.,CLE,RB,60
Rex Burkhead,NE,RB,61
Isaiah Crowell,NYJ,RB,62
Tevin Coleman,ATL,RB,63
Greg Olsen,CAR,TE,64
Delanie Walker,TEN,TE,65
Evan Engram,NYG,TE,66
Corey Davis,TEN,WR,67
Marquise Goodwin,SF,WR,68
Sammy Watkins,KC,WR,69
Randall Cobb,GB,WR,70
Devin Funchess,CAR,WR,71
Pierre Garcon,SF,WR,72
Chris Thompson,WAS,RB,73
Carlos Hyde,CLE,RB,74
Jimmy Graham,GB,TE,75
Will Fuller V,HOU,WR,76
Robby Anderson,NYJ,WR,77
Cam Newton,CAR,QB,78
Carson Wentz,PHI,QB,79
Russell Wilson,SEA,QB,80
Deshaun Watson,HOU,QB,81
Cooper Kupp,LAR,WR,82
Jamison Crowder,WAS,WR,83
Julian Edelman,NE,WR,84
Chris Carson,SEA,RB,85
Tarik Cohen,CHI,RB,86
Kerryon Johnson,DET,RB,87
Rashaad Penny,SEA,RB,88
Ronald Jones II,TB,RB,89
Jordan Reed,WAS,TE,90
Andrew Luck,IND,QB,91
Kelvin Benjamin,BUF,WR,92
Sterling Shepard,NYG,WR,93
Josh Doctson,WAS,WR,94
DeVante Parker,MIA,WR,95
Sony Michel,NE,RB,96
Jamaal Williams,GB,RB,97
James White,NE,RB,98
Peyton Barber,TB,RB,99
Kyle Rudolph,MIN,TE,100
Jordy Nelson,OAK,WR,101
Kenny Stills,MIA,WR,102
Marqise Lee,JAC,WR,103
Nelson Agholor,PHI,WR,104
Allen Hurns,DAL,WR,105
Paul Richardson,WAS,WR,106
Kenny Golladay,DET,WR,107
Cameron Meredith,NO,WR,108
Mohamed Sanu,ATL,WR,109
Tyler Lockett,SEA,WR,110
Danny Amendola,MIA,WR,111
Michael Gallup,DAL,WR,112
DeSean Jackson,TB,WR,113
Rishard Matthews,TEN,WR,114
DJ Moore,CAR,WR,115
Ben Roethlisberger,PIT,QB,116
Kirk Cousins,MIN,QB,117
Jack Doyle,IND,TE,118
Trey Burton,CHI,TE,119
David Njoku,CLE,TE,120
Ty Montgomery,GB,RB,121
Giovani Bernard,CIN,RB,122
Marlon Mack,IND,RB,123
Theo Riddick,DET,RB,124
Jordan Wilkins,IND,RB,125
Matthew Stafford,DET,QB,126
Drew Brees,NO,QB,127
Matt Ryan,ATL,QB,128
Chris Godwin,TB,WR,129
John Ross,CIN,WR,130
Calvin Ridley,ATL,WR,131
James Washington,PIT,WR,132
Patrick Mahomes,KC,QB,133
Philip Rivers,LAC,QB,134
Jimmy Garoppolo,SF,QB,135
Alex Smith,WAS,QB,136
John Brown,BAL,WR,137
Anthony Miller,CHI,WR,138
Courtland Sutton,DEN,WR,139
Mike Williams,LAC,WR,140
Dez Bryant,FA,WR,141
Adrian Peterson,WAS,RB,142
Jeremy Hill,NE,RB,143
Devontae Booker,DEN,RB,144
Charles Clay,BUF,TE,145
Tyler Eifert,CIN,TE,146
Aaron Jones,GB,RB,147
Doug Martin,OAK,RB,148
Matt Breida,SF,RB,149
Marcus Mariota,TEN,QB,150
Dak Prescott,DAL,QB,151
Jared Goff,LAR,QB,152
Jaguars D/ST,JAC,DST,153
Bilal Powell,NYJ,RB,154
Latavius Murray,MIN,RB,155
Corey Clement,PHI,RB,156
Nyheim Hines,IND,RB,157
Mike Wallace,PHI,WR,158
Keelan Cole,JAC,WR,159
Ryan Grant,IND,WR,160
George Kittle,SF,TE,161
Donte Moncrief,JAC,WR,162
Tyrod Taylor,CLE,QB,163
C.J. Anderson,CAR,RB,164
Kenneth Dixon,BAL,RB,165
Quincy Enunwa,NYJ,WR,166
Christian Kirk,ARI,WR,167
Cameron Brate,TB,TE,168
Benjamin Watson,NO,TE,169
Eagles D/ST,PHI,DST,170
