Player,Team,Pos,FPbest,FPworst
Todd Gurley,LAR,RB,1,8
LeVeon Bell,PIT,RB,1,7
David Johnson,ARI,RB,1,9
Ezekiel Elliott,DAL,RB,1,11
Antonio Brown,PIT,WR,1,9
DeAndre Hopkins,HOU,WR,1,26
Alvin Kamara,NO,RB,4,20
Odell Beckham Jr.,NYG,WR,3,17
Saquon Barkley,NYG,RB,3,25
Julio Jones,ATL,WR,4,18
Melvin Gordon,LAC,RB,4,27
Michael Thomas,NO,WR,8,20
Kareem Hunt,KC,RB,7,38
Keenan Allen,LAC,WR,6,22
Leonard Fournette,JAC,RB,7,38
A.J. Green,CIN,WR,8,29
Davante Adams,GB,WR,9,38
Christian McCaffrey,CAR,RB,9,48
Dalvin Cook,MIN,RB,7,42
Devonta Freeman,ATL,RB,13,43
Mike Evans,TB,WR,13,44
Rob Gronkowski,NE,TE,16,43
T.Y. Hilton,IND,WR,16,66
Jordan Howard,CHI,RB,18,80
Doug Baldwin,SEA,WR,16,48
Joe Mixon,CIN,RB,18,51
Travis Kelce,KC,TE,19,63
Adam Thielen,MIN,WR,11,68
Stefon Diggs,MIN,WR,17,48
Jerick McKinnon,SF,RB,16,71
Larry Fitzgerald,ARI,WR,6,46
Tyreek Hill,KC,WR,14,50
LeSean McCoy,BUF,RB,12,84
Amari Cooper,OAK,WR,17,86
Demaryius Thomas,DEN,WR,15,70
Zach Ertz,PHI,TE,16,67
Alex Collins,BAL,RB,22,75
Golden Tate,DET,WR,28,70
Jarvis Landry,CLE,WR,20,74
Kenyan Drake,MIA,RB,24,83
Allen Robinson,CHI,WR,23,140
Jay Ajayi,PHI,RB,18,82
JuJu Smith-Schuster,PIT,WR,30,77
Aaron Rodgers,GB,QB,26,301
Lamar Miller,HOU,RB,23,94
Brandin Cooks,LAR,WR,22,122
Derrick Henry,TEN,RB,27,102
Marvin Jones,DET,WR,31,86
Josh Gordon,CLE,WR,14,92
Royce Freeman,DEN,RB,30,120
Dion Lewis,TEN,RB,26,124
Chris Hogan,NE,WR,31,129
Mark Ingram,NO,RB,35,132
Corey Davis,TEN,WR,36,122
Michael Crabtree,BAL,WR,36,102
Russell Wilson,SEA,QB,32,298
Greg Olsen,CAR,TE,41,115
Tom Brady,NE,QB,32,299
Alshon Jeffery,PHI,WR,31,166
Cam Newton,CAR,QB,29,300
Marshawn Lynch,OAK,RB,36,134
Rex Burkhead,NE,RB,36,170
Emmanuel Sanders,DEN,WR,41,127
Sammy Watkins,KC,WR,39,133
Jimmy Graham,GB,TE,26,109
Delanie Walker,TEN,TE,45,108
Tevin Coleman,ATL,RB,29,119
Deshaun Watson,HOU,QB,38,301
Evan Engram,NYG,TE,34,128
Jamison Crowder,WAS,WR,52,132
Marquise Goodwin,SF,WR,37,164
Drew Brees,NO,QB,47,302
Kyle Rudolph,MIN,TE,43,136
Robert Woods,LAR,WR,45,160
Pierre Garcon,SF,WR,43,123
Robby Anderson,NYJ,WR,39,129
Cooper Kupp,LAR,WR,45,121
Kerryon Johnson,DET,RB,42,145
Sony Michel,NE,RB,45,132
Devin Funchess,CAR,WR,52,181
Carlos Hyde,CLE,RB,36,129
Carson Wentz,PHI,QB,38,303
Chris Thompson,WAS,RB,45,140
Kirk Cousins,MIN,QB,44,304
Rashaad Penny,SEA,RB,33,127
Randall Cobb,GB,WR,43,160
Duke Johnson,CLE,RB,30,148
Trey Burton,CHI,TE,43,137
Will Fuller,HOU,WR,63,172
Matthew Stafford,DET,QB,56,305
Jamaal Williams,GB,RB,58,152
Julian Edelman,NE,WR,56,175
Jordan Reed,WAS,TE,40,145
Tarik Cohen,CHI,RB,45,148
Andrew Luck,IND,QB,41,306
Isaiah Crowell,NYJ,RB,54,190
Jordy Nelson,OAK,WR,40,192
Nelson Agholor,PHI,WR,56,176
Marlon Mack,IND,RB,48,185
Kenny Stills,MIA,WR,48,209
Ben Roethlisberger,PIT,QB,60,307
Chris Carson,SEA,RB,44,216
Jack Doyle,IND,TE,67,159
Sterling Shepard,NYG,WR,62,214
Philip Rivers,LAC,QB,58,308
Ronald Jones II,TB,RB,50,198
Kelvin Benjamin,BUF,WR,59,201
Jimmy Garoppolo,SF,QB,61,309
David Njoku,CLE,TE,79,185
Peyton Barber,TB,RB,38,238
Devante Parker,MIA,WR,65,194
Matt Ryan,ATL,QB,65,310
George Kittle,SF,TE,77,170
C.J. Anderson,CAR,RB,66,177
Patrick Mahomes,KC,QB,63,311
Marcus Mariota,TEN,QB,76,312
Jared Goff,LAR,QB,81,313
James White,NE,RB,68,216
Alex Smith,WAS,QB,68,314
Ty Montgomery,GB,RB,69,205
Allen Hurns,DAL,WR,65,210
Giovani Bernard,CIN,RB,90,222
Aaron Jones,GB,RB,44,219
Kenny Golladay,DET,WR,88,188
Rishard Matthews,TEN,WR,49,246
