Player,Team,Pos,JM,DG,SK,AW
Todd Gurley II,LAR,RB,1,1,1,1
Ezekiel Elliott,DAL,RB,3,2,3,4
LeVeon Bell,PIT,RB,2,7,2,2
David Johnson,ARI,RB,4,3,4,5
Antonio Brown,PIT,WR,5,4,5,3
DeAndre Hopkins,HOU,WR,6,5,6,6
Odell Beckham Jr.,NYG,WR,7,9,9,9
Julio Jones,ATL,WR,11,6,10,8
Alvin Kamara,NO,RB,8,12,7,10
Saquon Barkley,NYG,RB,9,18,8,7
Kareem Hunt,KC,RB,10,14,11,14
Keenan Allen,LAC,WR,16,8,16,13
Melvin Gordon,LAC,RB,12,15,12,15
Leonard Fournette,JAC,RB,13,17,13,12
Michael Thomas,NO,WR,14,11,14,18
A.J. Green,CIN,WR,15,13,17,16
Dalvin Cook,MIN,RB,17,21,15,11
Davante Adams,GB,WR,18,16,18,17
Devonta Freeman,ATL,RB,20,26,19,19
Doug Baldwin,SEA,WR,25,10,27,23
Mike Evans,TB,WR,21,23,21,24
T.Y. Hilton,IND,WR,27,19,24,21
Rob Gronkowski,NE,TE,24,20,22,26
Jordan Howard,CHI,RB,23,25,20,25
Adam Thielen,MIN,WR,32,31,28,20
Travis Kelce,KC,TE,29,27,29,27
Jerick McKinnon,SF,RB,22,46,23,22
Christian McCaffrey,CAR,RB,19,35,26,33
Stefon Diggs,MIN,WR,33,22,30,29
Aaron Rodgers,GB,QB,31,37,36,32
Derrius Guice,WAS,RB,36,42,32,28
Joe Mixon,CIN,RB,28,54,25,31
LeSean McCoy,BUF,RB,26,41,33,39
Amari Cooper,OAK,WR,37,24,34,45
Tyreek Hill,KC,WR,39,30,31,42
Larry Fitzgerald,ARI,WR,35,29,38,41
Kenyan Drake,MIA,RB,30,39,43,36
Alshon Jeffery,PHI,WR,38,32,40,40
Demaryius Thomas,DEN,WR,42,38,41,35
Alex Collins,BAL,RB,34,58,35,30
Allen Robinson,CHI,WR,41,52,37,34
Josh Gordon,CLE,WR,46,34,50,37
JuJu Smith-Schuster,PIT,WR,48,28,45,49
Jay Ajayi,PHI,RB,45,43,42,43
Zach Ertz,PHI,TE,40,47,39,57
Golden Tate,DET,WR,47,36,49,52
Marvin Jones Jr.,DET,WR,52,49,47,44
Tom Brady,NE,QB,49,45,53,47
