Player,Team,Pos,ANDY BEHRENS,BRAD EVANS,SCOTT PIANOWSKI,DALTON DEL DON,LIZ LOZA
Todd Gurley II,LAR,RB,1,1,1,1,4
LeVeon Bell,PIT,RB,2,2,3,2,3
David Johnson,ARI,RB,3,6,2,3,1
Ezekiel Elliott,DAL,RB,4,3,4,4,6
Antonio Brown,PIT,WR,5,4,5,8,2
Saquon Barkley,NYG,RB,6,5,7,6,7
Alvin Kamara,NO,RB,8,7,6,5,8
DeAndre Hopkins,HOU,WR,9,10,8,9,5
Odell Beckham Jr.,NYG,WR,10,11,10,11,9
Melvin Gordon,LAC,RB,11,9,12,13,10
Julio Jones,ATL,WR,13,12,11,10,11
Michael Thomas,NO,WR,15,16,13,15,12
Kareem Hunt,KC,RB,7,13,9,7,38
Keenan Allen,LAC,WR,16,15,14,17,13
Davante Adams,GB,WR,17,17,15,16,14
Leonard Fournette,JAC,RB,12,8,38,12,15
A.J. Green,CIN,WR,19,18,17,22,17
Dalvin Cook,MIN,RB,14,14,20,20,42
Mike Evans,TB,WR,25,20,19,29,18
Rob Gronkowski,NE,TE,22,19,22,26,31
Stefon Diggs,MIN,WR,20,27,25,30,19
Travis Kelce,KC,TE,28,23,24,27,20
Devonta Freeman,ATL,RB,18,29,21,19,43
Adam Thielen,MIN,WR,26,35,18,31,23
Larry Fitzgerald,ARI,WR,27,22,29,34,22
Christian McCaffrey,CAR,RB,24,33,16,14,48
Tyreek Hill,KC,WR,30,31,33,21,27
Jordan Howard,CHI,RB,29,24,26,25,46
T.Y. Hilton,IND,WR,21,66,23,23,21
Zach Ertz,PHI,TE,31,49,31,28,16
Doug Baldwin,SEA,WR,33,28,32,42,25
Joe Mixon,CIN,RB,23,25,45,37,45
JuJu Smith-Schuster,PIT,WR,38,39,34,33,37
Amari Cooper,OAK,WR,32,61,30,32,30
Jerick McKinnon,SF,RB,53,44,27,18,49
Aaron Rodgers,GB,QB,44,43,37,48,26
Golden Tate,DET,WR,40,42,28,60,28
Demaryius Thomas,DEN,WR,45,32,39,54,39
Cam Newton,CAR,QB,48,37,48,58,29
Jarvis Landry,CLE,WR,49,64,35,39,33
Alex Collins,BAL,RB,35,51,41,40,54
Kenyan Drake,MIA,RB,43,38,43,24,78
Chris Hogan,NE,WR,47,68,44,35,32
Derrick Henry,TEN,RB,36,53,47,38,57
Tom Brady,NE,QB,50,52,42,51,36
Josh Gordon,CLE,WR,37,21,83,67,24
Jay Ajayi,PHI,RB,34,41,56,36,71
Russell Wilson,SEA,QB,58,45,40,56,41
Royce Freeman,DEN,RB,39,30,63,46,74
LeSean McCoy,BUF,RB,42,34,75,43,62
Allen Robinson,CHI,WR,41,78,62,44,35
Deshaun Watson,HOU,QB,59,40,64,47,53
Drew Brees,NO,QB,51,54,53,61,47
Lamar Miller,HOU,RB,46,56,57,49,60
Corey Davis,TEN,WR,52,36,60,81,40
Jimmy Graham,GB,TE,60,26,59,78,50
Dion Lewis,TEN,RB,54,48,49,53,80
Marvin Jones,DET,WR,55,77,36,57,63
Evan Engram,NYG,TE,78,67,50,66,34
Marquise Goodwin,SF,WR,61,65,84,41,56
Brandin Cooks,LAR,WR,57,73,51,86,44
Rex Burkhead,NE,RB,79,46,65,45,81
Mark Ingram,NO,RB,56,47,90,52,75
Greg Olsen,CAR,TE,65,62,77,50,69
Matthew Stafford,DET,QB,69,60,67,80,59
Jamison Crowder,WAS,WR,73,79,52,82,52
Kirk Cousins,MIN,QB,81,57,69,75,58
Emmanuel Sanders,DEN,WR,68,72,72,73,66
Trey Burton,CHI,TE,77,50,97,65,67
Marshawn Lynch,OAK,RB,62,80,66,64,85
Carson Wentz,PHI,QB,90,69,61,68,70
Carlos Hyde,CLE,RB,63,55,73,85,87
Robert Woods,LAR,WR,66,96,54,95,61
Michael Crabtree,BAL,WR,70,71,102,87,51
Kerryon Johnson,DET,RB,76,59,105,59,84
Robby Anderson,NYJ,WR,74,94,82,62,73
Sammy Watkins,KC,WR,75,88,46,128,55
Philip Rivers,LAC,QB,72,58,92,91,82
Cooper Kupp,LAR,WR,71,109,55,98,64
Devin Funchess,CAR,WR,93,101,58,83,68
Delanie Walker,TEN,TE,88,70,68,90,89
Kyle Rudolph,MIN,TE,87,75,74,97,76
Chris Carson,SEA,RB,84,86,70,69,102
Jimmy Garoppolo,SF,QB,107,92,87,63,65
Will Fuller,HOU,WR,94,81,108,71,72
Tevin Coleman,ATL,RB,64,98,119,55,91
Ben Roethlisberger,PIT,QB,67,84,99,104,77
Pierre Garcon,SF,WR,112,104,80,79,79
Patrick Mahomes,KC,QB,116,63,110,70,106
Andrew Luck,IND,QB,83,99,94,100,94
Marcus Mariota,TEN,QB,111,76,78,121,86
Matt Ryan,ATL,QB,98,108,76,94,96
Sony Michel,NE,RB,80,89,123,88,93
David Njoku,CLE,TE,103,91,89,112,83
Jamaal Williams,GB,RB,102,102,100,76,103
Jordan Reed,WAS,TE,100,87,101,109,90
Isaiah Crowell,NYJ,RB,114,82,79,110,107
George Kittle,SF,TE,106,100,117,77,97
Jack Doyle,IND,TE,115,115,85,102,92
Peyton Barber,TB,RB,86,74,81,72,
Alshon Jeffery,PHI,WR,82,97,95,74,166
Jared Goff,LAR,QB,104,103,116,107,88
Alex Smith,WAS,QB,135,85,106,111,98
Tarik Cohen,CHI,RB,136,90,111,99,104
Ronald Jones II,TB,RB,110,106,133,93,101
O.J. Howard,TB,TE,138,93,103,114,99
Duke Johnson,CLE,RB,113,112,91,113,124
Jordy Nelson,OAK,WR,92,110,93,101,162
Rashaad Penny,SEA,RB,96,83,,92,108
Jacksonville Jaguars,JAC,DST,126,107,127,123,105
Minnesota Vikings,MIN,DST,129,119,128,126,110
Dak Prescott,DAL,QB,118,116,120,133,127
Aaron Jones,GB,RB,,95,109,84,129
Los Angeles Rams,LAR,DST,141,114,121,136,113
Chris Thompson,WAS,RB,117,,96,96,125
Nelson Agholor,PHI,WR,99,,71,89,176
C.J. Anderson,CAR,RB,119,,86,142,95
Sterling Shepard,NYG,WR,101,153,88,139,171
Los Angeles Chargers,LAC,DST,134,125,134,152,116
Blake Bortles,JAC,QB,158,113,131,115,146
Philadelphia Eagles,PHI,DST,151,121,143,132,118
Cameron Brate,TB,TE,154,134,118,156,109
Julian Edelman,NE,WR,108,160,104,130,175
Kenny Stills,MIA,WR,91,,98,108,184
Derek Carr,OAK,QB,139,137,129,146,137
Denver Broncos,DEN,DST,147,123,150,144,126
Houston Texans,HOU,DST,157,133,139,143,120
Eli Manning,NYG,QB,125,135,158,166,115
Jared Cook,OAK,TE,130,139,140,174,123
Adrian Peterson,WAS,RB,89,,,106,112
Case Keenum,DEN,QB,186,120,151,131,121
Stephen Gostkowski,NE,K,161,132,152,154,128
Greg Zuerlein,LAR,K,159,128,153,158,130
Charles Clay,BUF,TE,,105,122,191,111
Justin Tucker,BAL,K,163,131,154,159,131
Mike Williams,LAC,WR,124,156,173,119,170
Ricky Seals-Jones,ARI,TE,,122,142,127,152
Mitch Trubisky,CHI,QB,166,117,144,151,169
Marlon Mack,IND,RB,144,,115,147,142
Austin Seferian-Jenkins,JAC,TE,120,,145,141,144
Nick Chubb,CLE,RB,131,129,147,150,
Tyler Eifert,CIN,TE,150,141,148,,119
Andy Dalton,CIN,QB,169,152,162,172,114
Kenny Golladay,DET,WR,109,,113,148,
Baltimore Ravens,BAL,DST,164,142,156,178,132
Eric Ebron,IND,TE,146,,155,149,122
Keelan Cole,JAC,WR,160,,107,105,
Benjamin Watson,NO,TE,,124,172,122,155
Matt Bryant,ATL,K,167,136,169,167,135
Randall Cobb,GB,WR,95,,160,120,
Jameis Winston,TB,QB,153,145,184,163,134
New Orleans Saints,NO,DST,172,126,174,175,138
Jordan Wilkins,IND,RB,,111,,117,160
Rishard Matthews,TEN,WR,123,,125,140,
Bilal Powell,NYJ,RB,133,,136,124,
Austin Hooper,ATL,TE,175,130,171,183,139
Kelvin Benjamin,BUF,WR,121,,112,165,
Tyrod Taylor,CLE,QB,190,127,189,194,100
Josh Doctson,WAS,WR,128,,114,170,
Jake Elliott,PHI,K,176,159,179,164,141
Pittsburgh Steelers,PIT,DST,178,140,175,184,143
New England Patriots,NE,DST,180,147,183,161,151
D.J. Moore,CAR,WR,85,,207,137,
Wil Lutz,NO,K,170,143,191,188,136
Matt Prater,DET,K,182,150,164,182,150
Atlanta Falcons,ATL,DST,184,154,166,187,145
Tyler Lockett,SEA,WR,149,,170,116,
Chris Godwin,TB,WR,148,,149,138,
Ryan Tannehill,MIA,QB,174,157,168,185,156
Vance McDonald,PIT,TE,,,157,134,149
Mike Gesicki,MIA,TE,165,,177,173,133
Carolina Panthers,CAR,DST,173,,165,179,140
Tyrell Williams,LAC,WR,162,,180,118,
Green Bay Packers,GB,DST,183,166,188,169,157
Harrison Butker,KC,K,185,161,161,196,161
Michael Gallup,DAL,WR,122,,196,145,
Giovani Bernard,CIN,RB,97,,,168,
Dede Westbrook,JAC,WR,171,,135,160,
Chicago Bears,CHI,DST,,144,178,,147
Cameron Meredith,NO,WR,137,,132,,
DeSean Jackson,TB,WR,132,,141,,
Corey Clement,PHI,RB,155,,130,189,
Chris Boswell,PIT,K,189,155,185,195,154
Anthony Miller,CHI,WR,152,,124,,
Dan Bailey,DAL,K,188,138,197,,158
John Brown,BAL,WR,105,,,181,
James White,NE,RB,143,149,,197,
Allen Hurns,DAL,WR,156,,137,201,
Ty Montgomery,GB,RB,,,176,205,117
Arizona Cardinals,ARI,DST,187,148,,,164
Jake Butt,DEN,TE,140,,,,159
Robbie Gould,SF,K,193,168,201,171,172
Latavius Murray,MIN,RB,,,,103,
LeGarrette Blount,DET,RB,,118,,186,
Mason Crosby,GB,K,191,162,193,,163
Danny Amendola,MIA,WR,127,,186,,
Devante Parker,MIA,WR,145,,194,180,
Kansas City Chiefs,KC,DST,179,,195,193,153
Theo Riddick,DET,RB,,,146,176,
Devontae Booker,DEN,RB,,,,125,
Paul Richardson,WAS,WR,,,126,,
Mohamed Sanu,ATL,WR,168,,159,,
Matt Breida,SF,RB,,,,129,
Graham Gano,CAR,K,,164,199,,168
Cincinnati Bengals,CIN,DST,192,163,204,,179
James Conner,PIT,RB,,,,135,
Ryan Succop,TEN,K,198,167,202,,174
Ted Ginn,NO,WR,,,138,,
Seattle Seahawks,SEA,DST,,169,200,,173
Calvin Ridley,ATL,WR,142,,,,
Mike Wallace,PHI,WR,181,,,162,
Brandon McManus,DEN,K,,165,,,178
Joe Flacco,BAL,QB,,,198,209,148
Antonio Gates,FA,TE,,146,,,
New York Giants,NYG,DST,197,151,,,
Alfred Blue,HOU,RB,,,,153,
Chris Ivory,BUF,RB,,,,155,
Spencer Ware,KC,RB,,,,157,
Detroit Lions,DET,DST,,158,,,
John Ross,CIN,WR,,,163,,
Jonnu Smith,TEN,TE,,,,,165
Jordan Matthews,FA,WR,,,167,,
Hayden Hurst,BAL,TE,,,,,167
Vernon Davis,WAS,TE,,,182,192,
Sam Darnold,NYJ,QB,196,,,198,183
Ryan Grant,IND,WR,177,,,,
Gerald Everett,LAR,TE,,,,,177
Austin Ekeler,LAC,RB,,,,177,
Josh McCown,NYJ,QB,,,205,,180
Tennessee Titans,TEN,DST,,,181,,
Stephen Anderson,HOU,TE,,,,,181
Sam Bradford,ARI,QB,,,,,182
Dez Bryant,FA,WR,,,187,,
Jesse James,PIT,TE,,,190,,
Corey Grant,JAC,RB,,,,190,
Corey Coleman,BUF,WR,,,192,,
Daniel Carlson,MIN,K,195,,,199,
Courtland Sutton,DEN,WR,194,,,,
Cleveland Browns,CLE,DST,199,,,,
Alfred Morris,SF,RB,,,,200,
Jonathan Williams,NO,RB,,,,202,
Adam Vinatieri,IND,K,,,,203,
Josh Allen,BUF,QB,,,203,,
