rank,player,TEAM,POS
1,Saquon Barkley,NYG,RB
2,Christian McCaffrey,CAR,RB
3,Alvin Kamara,NO,RB
4,David Johnson,ARI,RB
5,Ezekiel Elliott,DAL,RB
6,Le'Veon Bell,NYJ,RB
7,Todd Gurley II,LAR,RB
8,James Conner,PIT,RB
9,Davante Adams,GB,WR
10,DeAndre Hopkins,HOU,WR
11,Nick Chubb,CLE,RB
12,Joe Mixon,CIN,RB
13,Julio Jones,ATL,WR
14,Michael Thomas,NO,WR
15,Travis Kelce,KC,TE
16,Odell Beckham Jr.,CLE,WR
17,Tyreek Hill,KC,WR
18,JuJu Smith-Schuster,PIT,WR
19,Dalvin Cook,MIN,RB
20,Mike Evans,TB,WR
21,Zach Ertz,PHI,TE
22,Keenan Allen,LAC,WR
23,Josh Jacobs,OAK,RB
24,Kerryon Johnson,DET,RB
25,Leonard Fournette,JAC,RB
26,George Kittle,SF,TE
27,Aaron Jones,GB,RB
28,Damien Williams,KC,RB
29,Antonio Brown,OAK,WR
30,Robert Woods,LAR,WR
31,Julian Edelman,NE,WR
32,Amari Cooper,DAL,WR
33,Adam Thielen,MIN,WR
34,Brandin Cooks,LAR,WR
35,Stefon Diggs,MIN,WR
36,Chris Carson,SEA,RB
37,Devonta Freeman,ATL,RB
38,Cooper Kupp,LAR,WR
39,Sony Michel,NE,RB
40,Marlon Mack,IND,RB
41,Patrick Mahomes,KC,QB
42,Kenny Golladay,DET,WR
43,T.Y. Hilton,IND,WR
44,James White,NE,RB
45,Melvin Gordon,LAC,RB
46,David Montgomery,CHI,RB
47,Tyler Boyd,CIN,WR
48,Jarvis Landry,CLE,WR
49,Phillip Lindsay,DEN,RB
50,A.J. Green,CIN,WR
51,Chris Godwin,TB,WR
52,Mark Ingram II,BAL,RB
53,DJ Moore,CAR,WR
54,Alshon Jeffery,PHI,WR
55,Derrius Guice,WAS,RB
56,Duke Johnson Jr.,HOU,RB
57,Tyler Lockett,SEA,WR
58,Derrick Henry,TEN,RB
59,Tevin Coleman,SF,RB
60,Josh Gordon,NE,WR
61,Curtis Samuel,CAR,WR
62,Deshaun Watson,HOU,QB
63,Allen Robinson,CHI,WR
64,Mike Williams,LAC,WR
65,LeSean McCoy,BUF,RB
66,Sterling Shepard,NYG,WR
67,Miles Sanders,PHI,RB
68,Jordan Howard,PHI,RB
69,Matt Breida,SF,RB
70,Latavius Murray,NO,RB
71,Robby Anderson,NYJ,WR
72,Corey Davis,TEN,WR
73,Marvin Jones Jr.,DET,WR
74,Evan Engram,NYG,TE
75,Hunter Henry,LAC,TE
76,Dede Westbrook,JAC,WR
77,Aaron Rodgers,GB,QB
78,Emmanuel Sanders,DEN,WR
79,Tarik Cohen,CHI,RB
80,Sammy Watkins,KC,WR
81,Will Fuller V,HOU,WR
82,Calvin Ridley,ATL,WR
83,Jared Cook,NO,TE
84,Kalen Ballage,MIA,RB
85,Kenyan Drake,MIA,RB
86,Peyton Barber,TB,RB
87,O.J. Howard,TB,TE
88,Jamison Crowder,NYJ,WR
89,Christian Kirk,ARI,WR
90,Adam Humphries,TEN,WR
91,Royce Freeman,DEN,RB
92,Rashaad Penny,SEA,RB
93,Vance McDonald,PIT,TE
94,Matt Ryan,ATL,QB
95,Nyheim Hines,IND,RB
96,Justin Jackson,LAC,RB
97,Cam Newton,CAR,QB
98,Baker Mayfield,CLE,QB
99,Darrell Henderson,LAR,RB
100,Dion Lewis,TEN,RB
