rank,player,TEAM,POS
1,Saquon Barkley,NYG,RB
2,Christian McCaffrey,CAR,RB
3,Alvin Kamara,NO,RB
4,David Johnson,ARI,RB
5,Davante Adams,GB,WR
6,DeAndre Hopkins,HOU,WR
7,Ezekiel Elliott,DAL,RB
8,Odell Beckham Jr.,CLE,WR
9,Todd Gurley II,LAR,RB
10,Julio Jones,ATL,WR
11,Michael Thomas,NO,WR
12,Joe Mixon,CIN,RB
13,JuJu Smith-Schuster,PIT,WR
14,Nick Chubb,CLE,RB
15,Travis Kelce,KC,TE
16,Tyreek Hill,KC,WR
17,Josh Jacobs,OAK,RB
18,James Conner,PIT,RB
19,Dalvin Cook,MIN,RB
20,Mike Evans,TB,WR
21,Le'Veon Bell,NYJ,RB
22,Antonio Brown,OAK,WR
23,Damien Williams,KC,RB
24,Aaron Jones,GB,RB
25,Keenan Allen,LAC,WR
26,Adam Thielen,MIN,WR
27,Chris Carson,SEA,RB
28,George Kittle,SF,TE
29,Patrick Mahomes,KC,QB
30,Kerryon Johnson,DET,RB
31,Julian Edelman,NE,WR
32,Zach Ertz,PHI,TE
33,Amari Cooper,DAL,WR
34,Stefon Diggs,MIN,WR
35,Devonta Freeman,ATL,RB
36,Leonard Fournette,JAC,RB
37,Marlon Mack,IND,RB
38,Robert Woods,LAR,WR
39,Sony Michel,NE,RB
40,David Montgomery,CHI,RB
41,Cooper Kupp,LAR,WR
42,James White,NE,RB
43,Melvin Gordon,LAC,RB
44,T.Y. Hilton,IND,WR
45,Mark Ingram II,BAL,RB
46,Chris Godwin,TB,WR
47,Brandin Cooks,LAR,WR
48,Tyler Lockett,SEA,WR
49,Deshaun Watson,HOU,QB
50,Derrick Henry,TEN,RB
51,Kenny Golladay,DET,WR
52,Tyler Boyd,CIN,WR
53,DJ Moore,CAR,WR
54,Derrius Guice,WAS,RB
55,Robby Anderson,NYJ,WR
56,Evan Engram,NYG,TE
57,Tevin Coleman,SF,RB
58,A.J. Green,CIN,WR
59,Duke Johnson Jr.,HOU,RB
60,Josh Gordon,NE,WR
61,Alshon Jeffery,PHI,WR
62,Mike Williams,LAC,WR
63,O.J. Howard,TB,TE
64,Aaron Rodgers,GB,QB
65,Baker Mayfield,CLE,QB
66,Carson Wentz,PHI,QB
67,Emmanuel Sanders,DEN,WR
68,Latavius Murray,NO,RB
69,Miles Sanders,PHI,RB
70,Phillip Lindsay,DEN,RB
71,Hunter Henry,LAC,TE
72,Dede Westbrook,JAC,WR
73,Vance McDonald,PIT,TE
74,Matt Ryan,ATL,QB
75,Will Fuller V,HOU,WR
76,Jordan Howard,PHI,RB
77,Royce Freeman,DEN,RB
78,Sterling Shepard,NYG,WR
79,Sammy Watkins,KC,WR
80,Allen Robinson,CHI,WR
81,Kyler Murray,ARI,QB
82,Jarvis Landry,CLE,WR
83,Kalen Ballage,MIA,RB
84,Rashaad Penny,SEA,RB
85,Christian Kirk,ARI,WR
86,Kenyan Drake,MIA,RB
87,Ben Roethlisberger,PIT,QB
88,Calvin Ridley,ATL,WR
89,Austin Ekeler,LAC,RB
90,Curtis Samuel,CAR,WR
91,Jared Cook,NO,TE
92,Darrell Henderson,LAR,RB
93,Matt Breida,SF,RB
94,Donte Moncrief,PIT,WR
95,Geronimo Allison,GB,WR
96,Tarik Cohen,CHI,RB
97,Marvin Jones Jr.,DET,WR
98,Cam Newton,CAR,QB
99,Jared Goff,LAR,QB
100,Marquez Valdes-Scantling,GB,WR
101,Peyton Barber,TB,RB
