rank,player,TEAM,POS
1,Saquon Barkley,NYG,RB
2,Christian McCaffrey,CAR,RB
3,Alvin Kamara,NO,RB
4,Ezekiel Elliott,DAL,RB
5,DeAndre Hopkins,HOU,WR
6,Michael Thomas,NO,WR
7,David Johnson,ARI,RB
8,Le'Veon Bell,NYJ,RB
9,Davante Adams,GB,WR
10,Julio Jones,ATL,WR
11,Odell Beckham Jr.,CLE,WR
12,Tyreek Hill,KC,WR
13,JuJu Smith-Schuster,PIT,WR
14,Todd Gurley II,LAR,RB
15,Travis Kelce,KC,TE
16,Antonio Brown,OAK,WR
17,Joe Mixon,CIN,RB
18,James Conner,PIT,RB
19,Dalvin Cook,MIN,RB
20,Mike Evans,TB,WR
21,Keenan Allen,LAC,WR
22,Nick Chubb,CLE,RB
23,Kerryon Johnson,DET,RB
24,Leonard Fournette,JAC,RB
25,Devonta Freeman,ATL,RB
26,Melvin Gordon,LAC,RB
27,Amari Cooper,DAL,WR
28,Julian Edelman,NE,WR
29,George Kittle,SF,TE
30,Zach Ertz,PHI,TE
31,Josh Jacobs,OAK,RB
32,Derrick Henry,TEN,RB
33,Chris Carson,SEA,RB
34,Aaron Jones,GB,RB
35,Damien Williams,KC,RB
36,Adam Thielen,MIN,WR
37,Brandin Cooks,LAR,WR
38,Stefon Diggs,MIN,WR
39,Robert Woods,LAR,WR
40,Kenny Golladay,DET,WR
41,Cooper Kupp,LAR,WR
42,Chris Godwin,TB,WR
43,Patrick Mahomes,KC,QB
44,Mark Ingram II,BAL,RB
45,James White,NE,RB
46,T.Y. Hilton,IND,WR
47,Alshon Jeffery,PHI,WR
48,Tyler Lockett,SEA,WR
49,Mike Williams,LAC,WR
50,DJ Moore,CAR,WR
51,Tyler Boyd,CIN,WR
52,Allen Robinson,CHI,WR
53,Calvin Ridley,ATL,WR
54,Josh Gordon,NE,WR
55,Sammy Watkins,KC,WR
56,A.J. Green,CIN,WR
57,Marlon Mack,IND,RB
58,Sony Michel,NE,RB
59,Kenyan Drake,MIA,RB
60,David Montgomery,CHI,RB
61,Tarik Cohen,CHI,RB
62,Phillip Lindsay,DEN,RB
63,Derrius Guice,WAS,RB
64,Duke Johnson Jr.,HOU,RB
65,Evan Engram,NYG,TE
66,O.J. Howard,TB,TE
67,Hunter Henry,LAC,TE
68,Jared Cook,NO,TE
69,Deshaun Watson,HOU,QB
70,Matt Ryan,ATL,QB
71,Aaron Rodgers,GB,QB
72,Sterling Shepard,NYG,WR
73,Jarvis Landry,CLE,WR
74,Robby Anderson,NYJ,WR
75,Dede Westbrook,JAC,WR
76,Will Fuller V,HOU,WR
77,Marvin Jones Jr.,DET,WR
78,Christian Kirk,ARI,WR
79,Emmanuel Sanders,DEN,WR
80,Tevin Coleman,SF,RB
81,Miles Sanders,PHI,RB
82,Austin Ekeler,LAC,RB
83,Royce Freeman,DEN,RB
84,Rashaad Penny,SEA,RB
85,Nyheim Hines,IND,RB
86,Peyton Barber,TB,RB
87,Baker Mayfield,CLE,QB
88,Carson Wentz,PHI,QB
89,Cam Newton,CAR,QB
90,Dak Prescott,DAL,QB
91,Corey Davis,TEN,WR
92,Jamison Crowder,NYJ,WR
93,Curtis Samuel,CAR,WR
94,Larry Fitzgerald,ARI,WR
95,Courtland Sutton,DEN,WR
96,Keke Coutee,HOU,WR
97,Michael Gallup,DAL,WR
98,Dante Pettis,SF,WR
99,Latavius Murray,NO,RB
100,Jordan Howard,PHI,RB
101,Matt Breida,SF,RB
102,LeSean McCoy,BUF,RB
