Rk,Name,Team,Pos
1,Saquon Barkley,NYG,RB
2,Christian McCaffrey,CAR,RB
3,Alvin Kamara,NO,RB
4,Ezekiel Elliott,DAL,RB
5,DeAndre Hopkins,HOU,WR
6,David Johnson,ARI,RB
7,Davante Adams,GB,WR
8,LeVeon Bell,NYJ,RB
9,Julio Jones,ATL,WR
10,James Conner,PIT,RB
11,Nick Chubb,CLE,RB
12,Michael Thomas,NO,WR
13,Todd Gurley,LAR,RB
14,Dalvin Cook,MIN,RB
15,Odell Beckham Jr,CLE,WR
16,Tyreek Hill,KC,WR
17,JuJu Smith-Schuster,PIT,WR
18,Joe Mixon,CIN,RB
19,Travis Kelce,KC,TE
20,Mike Evans,TB,WR
21,Damien Williams,KC,RB
22,Antonio Brown,OAK,WR
23,Adam Thielen,MIN,WR
24,Leonard Fournette,JAX,RB
25,Keenan Allen,LAC,WR
26,Kerryon Johnson,DET,RB
27,Devonta Freeman,ATL,RB
28,Aaron Jones,GB,RB
29,Chris Carson,SEA,RB
30,Pat Mahomes,KC,QB
31,Josh Jacobs,OAK,RB
32,George Kittle,SF,TE
33,Stefon Diggs,MIN,WR
34,David Montgomery,CHI,RB
35,Amari Cooper,DAL,WR
36,Zach Ertz,PHI,TE
37,Sony Michel,NE,RB
38,Julian Edelman,NE,WR
39,Brandin Cooks,LAR,WR
40,Melvin Gordon,LAC,RB
41,Mark Ingram,BAL,RB
42,Derrick Henry,TEN,RB
43,Robert Woods,LAR,WR
44,Chris Godwin,TB,WR
45,Marlon Mack,IND,RB
46,Tyler Lockett,SEA,WR
47,Cooper Kupp,LAR,WR
48,Kenny Golladay,DET,WR
49,T.Y. Hilton,IND,WR
50,Tevin Coleman,SF,RB
51,Phillip Lindsay,DEN,RB
52,Tyler Boyd,CIN,WR
53,Miles Sanders,PHI,RB
54,Calvin Ridley,ATL,WR
55,O.J. Howard,TB,TE
56,Mike Williams,LAC,WR
57,James White,NE,RB
58,Deshaun Watson,HOU,QB
59,Austin Ekeler,LAC,RB
60,A.J. Green,CIN,WR
61,Evan Engram,NYG,TE
62,D.J. Moore,CAR,WR
63,Josh Gordon,NE,WR
64,Aaron Rodgers,GB,QB
65,Hunter Henry,LAC,TE
66,Jarvis Landry,CLE,WR
67,Duke Johnson,HOU,RB
68,Robby Anderson,NYJ,WR
69,Latavius Murray,NO,RB
70,Derrius Guice,WAS,RB
71,Alshon Jeffery,PHI,WR
72,Dede Westbrook,JAX,WR
73,Baker Mayfield,CLE,QB
74,Tarik Cohen,CHI,RB
75,Allen Robinson,CHI,WR
76,Matt Ryan,ATL,QB
77,Jared Cook,NO,TE
78,Curtis Samuel,CAR,WR
79,Kenyan Drake,MIA,RB
80,Will Fuller,HOU,WR
81,Carson Wentz,PHI,QB
82,Vance McDonald,PIT,TE
83,Christian Kirk,ARI,WR
84,Darwin Thompson,KC,RB
85,Rashaad Penny,SEA,RB
86,Emmanuel Sanders,DEN,WR
87,Drew Brees,NO,QB
88,Marvin Jones,DET,WR
89,Darrell Henderson,LAR,RB
90,Geronimo Allison,GB,WR
91,Matt Breida,SF,RB
92,Jared Goff,LAR,QB
93,Royce Freeman,DEN,RB
94,David Njoku,CLE,TE
95,Jordan Howard,PHI,RB
96,Cam Newton,CAR,QB
97,Kalen Ballage,MIA,RB
98,Chicago Defense,CHI,DEF
99,Marquez Valdes-Scantling,GB,WR
100,Dante Pettis,SF,WR
101,Sterling Shepard,NYG,WR
102,Russell Wilson,SEA,QB
