rank,Player,Team,Pos
1,Pat Mahomes ,KC,QB
2,Baker Mayfield ,CLE,QB
3,Andrew Luck P,IND,QB
4,Deshaun Watson ,HOU,QB
5,Carson Wentz ,PHI,QB
6,Matt Ryan ,ATL,QB
7,Jared Goff ,LAR,QB
8,Drew Brees ,NO,QB
9,Aaron Rodgers ,GB,QB
10,Jameis Winston ,TB,QB
11,Philip Rivers ,LAC,QB
12,Russell Wilson ,SEA,QB
13,Ben Roethlisberger ,PIT,QB
14,Tom Brady ,NE,QB
15,Kyler Murray ,ARI,QB
16,Dak Prescott ,DAL,QB
17,Cam Newton P,CAR,QB
18,Mitch Trubisky ,CHI,QB
19,Jimmy Garoppolo P,SF,QB
20,Kirk Cousins ,MIN,QB
21,Lamar Jackson ,BAL,QB
22,Josh Allen ,BUF,QB
23,Sam Darnold ,NYJ,QB
24,Andy Dalton ,CIN,QB
25,Derek Carr ,OAK,QB
26,Matthew Stafford ,DET,QB
27,Nick Foles ,JAX,QB
28,Marcus Mariota ,TEN,QB
29,Dwayne Haskins ,WAS,QB
30,Joe Flacco ,DEN,QB
31,Eli Manning ,NYG,QB
32,Josh Rosen ,MIA,QB
33,Case Keenum ,WAS,QB
34,Ryan Fitzpatrick ,MIA,QB
35,Daniel Jones ,NYG,QB
36,Drew Lock ,DEN,QB
37,AJ McCarron Q,HOU,QB
38,C.J. Beathard ,SF,QB
39,Taysom Hill ,NO,QB
40,Nate Sudfeld O,PHI,QB
41,DeShone Kizer ,GB,QB
42,Jacoby Brissett ,IND,QB
43,Blake Bortles ,LAR,QB
44,Gardner Minshew ,JAX,QB
45,Ryan Switzer ,PIT,QB
1,Saquon Barkley ,NYG,RB
2,Christian McCaffrey ,CAR,RB
3,Alvin Kamara ,NO,RB
4,Ezekiel Elliott O,DAL,RB
5,DeAndre Hopkins ,HOU,WR
6,Davante Adams ,GB,WR
7,Michael Thomas P,NO,WR
8,Julio Jones ,ATL,WR
9,David Johnson ,ARI,RB
10,Odell Beckham Jr ,CLE,WR
11,JuJu Smith-Schuster ,PIT,WR
12,LeVeon Bell ,NYJ,RB
13,James Conner ,PIT,RB
14,Tyreek Hill ,KC,WR
15,Antonio Brown Q,OAK,WR
16,Joe Mixon ,CIN,RB
17,Dalvin Cook ,MIN,RB
18,Todd Gurley ,LAR,RB
19,Damien Williams ,KC,RB
20,Amari Cooper ,DAL,WR
21,Nick Chubb ,CLE,RB
22,T.Y. Hilton ,IND,WR
23,Keenan Allen ,LAC,WR
24,Mike Evans ,TB,WR
25,Kerryon Johnson ,DET,RB
26,Julian Edelman P,NE,WR
27,Leonard Fournette ,JAX,RB
28,Derrick Henry P,TEN,RB
29,Aaron Jones ,GB,RB
30,Josh Jacobs ,OAK,RB
31,Marlon Mack ,IND,RB
32,Devonta Freeman ,ATL,RB
33,Chris Carson ,SEA,RB
34,Kenyan Drake ,MIA,RB
35,Adam Thielen ,MIN,WR
36,Stefon Diggs ,MIN,WR
37,Phillip Lindsay P,DEN,RB
38,Brandin Cooks ,LAR,WR
39,Robert Woods ,LAR,WR
40,Travis Kelce ,KC,TE
41,Melvin Gordon O,LAC,RB
42,Mark Ingram ,BAL,RB
43,Kenny Golladay ,DET,WR
44,Tyler Lockett ,SEA,WR
45,Chris Godwin ,TB,WR
46,David Montgomery ,CHI,RB
47,James White ,NE,RB
48,Zach Ertz ,PHI,TE
49,D.J. Moore ,CAR,WR
50,Lamar Miller ,HOU,RB
51,A.J. Green O,CIN,WR
52,Calvin Ridley ,ATL,WR
53,Tyler Boyd ,CIN,WR
54,Cooper Kupp P,LAR,WR
55,Allen Robinson ,CHI,WR
56,Alshon Jeffery ,PHI,WR
57,Mike Williams ,LAC,WR
58,Robby Anderson ,NYJ,WR
59,Jarvis Landry ,CLE,WR
60,Marvin Jones ,DET,WR
61,Larry Fitzgerald ,ARI,WR
62,Corey Davis ,TEN,WR
63,Sony Michel ,NE,RB
64,Austin Ekeler ,LAC,RB
65,Curtis Samuel ,CAR,WR
66,Sammy Watkins ,KC,WR
67,Dede Westbrook ,JAX,WR
68,Christian Kirk ,ARI,WR
69,Tarik Cohen ,CHI,RB
70,O.J. Howard ,TB,TE
71,Dante Pettis ,SF,WR
72,George Kittle ,SF,TE
73,Tevin Coleman ,SF,RB
74,Derrius Guice P,WAS,RB
75,Courtland Sutton ,DEN,WR
76,Sterling Shepard P,NYG,WR
77,Will Fuller P,HOU,WR
78,Eric Ebron ,IND,TE
79,Jared Cook ,NO,TE
80,Tyrell Williams ,OAK,WR
81,Hunter Henry ,LAC,TE
82,Latavius Murray ,NO,RB
83,DeSean Jackson ,PHI,WR
84,N'Keal Harry ,NE,WR
85,Delanie Walker P,TEN,TE
86,Keke Coutee Q,HOU,WR
87,Peyton Barber ,TB,RB
88,Darrell Henderson ,LAR,RB
89,LeSean McCoy ,BUF,RB
90,Miles Sanders ,PHI,RB
91,Emmanuel Sanders P,DEN,WR
92,Rashaad Penny ,SEA,RB
93,David Njoku ,CLE,TE
94,Marquez Valdes-Scantling ,GB,WR
95,Jamison Crowder ,NYJ,WR
96,Golden Tate O,NYG,WR
97,Greg Olsen ,CAR,TE
98,Evan Engram ,NYG,TE
99,Mohamed Sanu ,ATL,WR
100,Trey Burton Q,CHI,TE
101,Kyle Rudolph ,MIN,TE
102,Anthony Miller Q,CHI,WR
103,Vance McDonald ,PIT,TE
104,Devin Funchess ,IND,WR
105,James Washington ,PIT,WR
106,Jack Doyle P,IND,TE
107,Quincy Enunwa P,NYJ,WR
108,John Brown ,BUF,WR
109,Jordan Howard ,PHI,RB
110,Jason Witten ,DAL,TE
111,Jerick McKinnon O,SF,RB
112,Adrian Peterson ,WAS,RB
113,Kenny Stills ,MIA,WR
114,Donte Moncrief ,PIT,WR
115,Tyler Eifert Q,CIN,TE
116,Albert Wilson P,MIA,WR
117,Michael Gallup ,DAL,WR
118,Dion Lewis ,TEN,RB
119,Royce Freeman ,DEN,RB
120,Austin Hooper ,ATL,TE
121,Dallas Goedert P,PHI,TE
122,Ted Ginn Jr ,NO,WR
123,Parris Campbell ,IND,WR
124,Jimmy Graham ,GB,TE
125,Paul Richardson ,WAS,WR
126,Ito Smith ,ATL,RB
127,Mark Andrews ,BAL,TE
128,Geronimo Allison ,GB,WR
129,Deebo Samuel ,SF,WR
130,Matt Breida ,SF,RB
131,CJ Anderson ,DET,RB
132,Duke Johnson ,HOU,RB
133,Darren Waller ,OAK,WR
134,Marqise Lee D,JAX,WR
135,Robert Foster ,BUF,WR
136,Noah Fant ,DEN,TE
137,Chris Thompson ,WAS,RB
138,Cameron Brate ,TB,TE
139,Marquise Brown ,BAL,WR
140,T.J. Hockenson ,DET,TE
141,Rashard Higgins ,CLE,WR
142,Jaylen Samuels ,PIT,RB
143,D.K. Metcalf ,SEA,WR
144,Kalen Ballage ,MIA,RB
145,Andy Isabella ,ARI,WR
146,Daesean Hamilton Q,DEN,WR
147,Tre'Quan Smith ,NO,WR
148,Will Dissly P,SEA,TE
149,DeVante Parker ,MIA,WR
150,Marquise Goodwin ,SF,WR
151,Jordan Reed ,WAS,TE
152,Theo Riddick O,DEN,RB
153,A.J. Brown ,TEN,WR
154,Chris Conley ,JAX,WR
155,Nyheim Hines ,IND,RB
156,Jamaal Williams Q,GB,RB
157,Jonnu Smith O,TEN,TE
158,Giovani Bernard ,CIN,RB
159,Adam Humphries ,TEN,WR
160,David Moore ,SEA,WR
161,Donta Foreman ,IND,RB
