Rank,Player,Team,Position
1,Saquon Barkley,Giants,RB
2,Ezekiel Elliott,Cowboys,RB
3,Alvin Kamara,Saints,RB
4,Christian McCaffrey,Panthers,RB
5,Le'Veon Bell,Jets,RB
6,Todd Gurley,Rams,RB
7,DeAndre Hopkins,Texans,WR
8,James Conner,Steelers,RB
9,Davante Adams,Packers,WR
10,Julio Jones,Falcons,WR
11,Michael Thomas,Saints,WR
12,Joe Mixon,Bengals,RB
13,David Johnson,Cardinals,RB
14,Odell Beckham Jr.,Browns,WR
15,Leonard Fournette,Jaguars,RB
16,Dalvin Cook,Vikings,RB
17,JuJu Smith-Schuster,Steelers,WR
18,Tyreek Hill,Chiefs,WR
19,Antonio Brown,Raiders,WR
20,Adam Thielen,Vikings,WR
21,Kerryon Johnson,Lions,RB
22,Mark Ingram,Ravens,RB
23,Keenan Allen,Chargers,WR
24,Patrick Mahomes II,Chiefs,QB
25,Melvin Gordon,Chargers,RB
26,Tevin Coleman,49ers,RB
27,Mike Evans,Buccaneers,WR
28,Calvin Ridley,Falcons,WR
29,Amari Cooper,Cowboys,WR
30,Aaron Jones,Packers,RB
31,Travis Kelce,Chiefs,TE
32,Nick Chubb,Browns,RB
33,Marlon Mack,Colts,RB
34,Derrick Henry,Titans,RB
35,Zach Ertz,Eagles,TE
36,Damien Williams,Chiefs,RB
37,Brandin Cooks,Rams,WR
38,Chris Carson,Seahawks,RB
39,Deshaun Watson,Texans,QB
40,Matt Ryan,Falcons,QB
41,Phillip Lindsay,Broncos,RB
42,Devonta Freeman,Falcons,RB
43,George Kittle,49ers,TE
44,Stefon Diggs,Vikings,WR
45,Sony Michel,Patriots,RB
46,Kenny Golladay,Lions,WR
47,Aaron Rodgers,Packers,QB
48,Josh Jacobs,Raiders,RB
49,Alshon Jeffery,Eagles,WR
50,Jarvis Landry,Browns,WR
51,Russell Wilson,Seahawks,QB
52,Tarik Cohen,Bears,RB
53,Will Fuller V,Texans,WR
54,Cooper Kupp,Rams,WR
55,Evan Engram,Giants,TE
56,Baker Mayfield,Browns,QB
57,James White,Patriots,RB
58,Kenyan Drake,Dolphins,RB
59,Mike Williams,Chargers,WR
60,Tyler Lockett,Seahawks,WR
61,Robert Woods,Rams,WR
62,T.Y. Hilton,Colts,WR
63,Corey Davis,Titans,WR
64,O.J. Howard,Buccaneers,TE
65,Julian Edelman,Patriots,WR
66,A.J. Green,Bengals,WR
67,Jordan Howard,Eagles,RB
68,Jared Goff,Rams,QB
69,Drew Brees,Saints,QB
70,Derrius Guice,Redskins,RB
71,Philip Rivers,Chargers,QB
72,Jared Cook,Saints,TE
73,Carson Wentz,Eagles,QB
74,Ronald Jones,Buccaneers,RB
75,Sammy Watkins,Chiefs,WR
76,Kirk Cousins,Vikings,QB
77,LeSean McCoy,Bills,RB
78,Allen Robinson,Bears,WR
79,Latavius Murray,Saints,RB
80,David Montgomery,Bears,RB
81,Royce Freeman,Broncos,RB
82,Dion Lewis,Titans,RB
83,Ben Roethlisberger,Steelers,QB
84,Tyler Boyd,Bengals,WR
85,Chris Godwin,Buccaneers,WR
86,D.J. Moore,Panthers,WR
87,Hunter Henry,Chargers,TE
88,Miles Sanders,Eagles,RB
89,Marvin Jones,Lions,WR
90,Adrian Peterson,Redskins,RB
91,Kalen Ballage,Dolphins,RB
92,Dak Prescott,Cowboys,QB
93,Trey Burton,Bears,TE
94,Eric Ebron,Colts,TE
95,Sterling Shepard,Giants,WR
96,Duke Johnson Jr.,Texans,RB
97,Courtland Sutton,Broncos,WR
98,DeSean Jackson,Eagles,WR
99,Derek Carr,Raiders,QB
100,Darwin Thompson,Chiefs,RB
101,Ito Smith,Falcons,RB
102,Gus Edwards,Ravens,RB
103,Peyton Barber,Buccaneers,RB
104,Mitchell Trubisky,Bears,QB
105,Cam Newton,Panthers,QB
106,Tom Brady,Patriots,QB
107,Delanie Walker,Titans,TE
108,Tyrell Williams,Raiders,WR
109,Chicago Bears,,D/ST
110,Rashaad Penny,Seahawks,RB
111,Larry Fitzgerald,Cardinals,WR
112,Geronimo Allison,Packers,WR
113,Josh Allen,Bills,QB
114,Anthony Miller,Bears,WR
115,Curtis Samuel,Panthers,WR
116,James Washington,Steelers,WR
117,Golden Tate,Giants,WR
118,Jimmy Graham,Packers,TE
119,David Njoku,Browns,TE
120,Greg Olsen,Panthers,TE
121,Nyheim Hines,Colts,RB
122,Austin Ekeler,Chargers,RB
123,John Brown,Bills,WR
124,Dede Westbrook,Jaguars,WR
125,Robby Anderson,Jets,WR
126,Los Angeles Chargers,,D/ST
127,Los Angeles Rams,,D/ST
128,Emmanuel Sanders,Broncos,WR
129,Devin Singletary,Bills,RB
130,Darrell Henderson,Rams,RB
131,Justin Jackson,Chargers,RB
132,Donte Moncrief,Steelers,WR
133,Mike Davis,Bears,RB
134,Matthew Stafford,Lions,QB
135,Giovani Bernard,Bengals,RB
136,Damien Harris,Patriots,RB
137,Devin Funchess,Colts,WR
138,Marquez Valdes-Scantling,Packers,WR
139,Josh Gordon,Patriots,WR
140,Willie Snead,Ravens,WR
141,Vance McDonald,Steelers,TE
142,New England Patriots,,D/ST
143,Jack Doyle,Colts,TE
144,Pittsburgh Steelers,,D/ST
145,Jameis Winston,Buccaneers,QB
146,Kyler Murray,Cardinals,QB
147,Kansas City Chiefs,,D/ST
148,Jimmy Garoppolo,49ers,QB
149,Marcus Mariota,Titans,QB
150,Minnesota Vikings,,D/ST
151,C.J. Anderson,Lions,RB
152,Jaron Brown,Seahawks,WR
153,Denver Broncos,,D/ST
154,Houston Texans,,D/ST
155,Kyle Rudolph,Vikings,TE
156,Jordan Reed,Redskins,TE
157,Jerick McKinnon,49ers,RB
158,Matt Breida,49ers,RB
159,Indianapolis Colts,,D/ST
160,Jalen Richard,Raiders,RB
161,Michael Gallup,Cowboys,WR
162,Austin Hooper,Falcons,TE
163,Chris Thompson,Redskins,RB
164,Theo Riddick,Broncos,RB
165,Jaylen Samuels,Steelers,RB
166,Lamar Jackson,Ravens,QB
167,Carlos Hyde,Chiefs,RB
168,Kareem Hunt,Browns,RB
169,Dallas Cowboys,,D/ST
170,Cleveland Browns,,D/ST
171,Tre'Quan Smith,Saints,WR
172,Dante Pettis,49ers,WR
173,New Orleans Saints,,D/ST
174,Washington Redskins,,D/ST
175,Christian Kirk,Cardinals,WR
176,Trent Taylor,49ers,WR
177,Keke Coutee,Texans,WR
178,Jamison Crowder,Jets,WR
179,Zay Jones,Bills,WR
180,Chris Hogan,Panthers,WR
181,Alexander Mattison,Vikings,RB
182,Kenny Stills,Dolphins,WR
183,Preston Williams,Dolphins,WR
184,Damarea Crockett,Texans,RB
185,Baltimore Ravens,,D/ST
186,Marqise Lee,Jaguars,WR
187,Sam Darnold,Jets,QB
188,Jacoby Brissett,Colts,QB
189,Justin Tucker,Ravens,K
190,Wil Lutz,Saints,K
191,Greg Zuerlein,Rams,K
192,Harrison Butker,Chiefs,K
193,Ka'imi Fairbairn,Texans,K
194,Stephen Gostkowski,Patriots,K
195,Michael Badgley,Chargers,K
196,Giorgio Tevecchio,Falcons,K
197,Jake Elliott,Eagles,K
198,Brett Maher,Cowboys,K
199,Jason Myers,Seahawks,K
200,Graham Gano,Panthers,K
