rank,player,team,pos
1,Saquon Barkley,NYG,RB
2,Alvin Kamara,NO,RB
3,Christian McCaffrey,CAR,RB
5,Nick Chubb,CLE,RB
12,Ezekiel Elliott,DAL,RB
4,DeAndre Hopkins,HOU,WR
6,David Johnson,ARI,RB
7,Davante Adams,GB,WR
11,James Conner,PIT,RB
8,Julio Jones,ATL,WR
19,Dalvin Cook,MIN,RB
10,Odell Beckham Jr.,CLE,WR
9,Le'Veon Bell,NYJ,RB
13,Michael Thomas,NO,WR
15,JuJu Smith-Schuster,PIT,WR
16,Travis Kelce,KC,TE
14,Tyreek Hill,KC,WR
18,Joe Mixon,CIN,RB
20,George Kittle,SF,TE
17,Mike Evans,TB,WR
22,Damien Williams,KC,RB
25,Keenan Allen,LAC,WR
41,Kerryon Johnson,DET,RB
21,Aaron Jones,GB,RB
24,Devonta Freeman,ATL,RB
27,Antonio Brown,OAK,WR
30,Amari Cooper,DAL,WR
23,Zach Ertz,PHI,TE
28,Adam Thielen,MIN,WR
29,Stefon Diggs,MIN,WR
34,Chris Godwin,TB,WR
40,Derrick Henry,TEN,RB
26,Todd Gurley,LAR,RB
32,Brandin Cooks,LAR,WR
38,Robert Woods,LAR,WR
43,David Montgomery,CHI,RB
31,Leonard Fournette,JAC,RB
39,Patrick Mahomes,KC,QB
45,Marlon Mack,IND,RB
33,Julian Edelman,NE,WR
60,T.Y. Hilton,IND,WR
36,Chris Carson,SEA,RB
52,Deshaun Watson,HOU,QB
42,Mark Ingram,BAL,RB
44,Kenny Golladay,DET,WR
37,Tyler Lockett,SEA,WR
46,Josh Jacobs,OAK,RB
48,Allen Robinson,CHI,WR
55,Tyler Boyd,CIN,WR
64,Mike Williams,LAC,WR
35,Sony Michel,NE,RB
63,O.J. Howard,TB,TE
57,Cooper Kupp,LAR,WR
50,Calvin Ridley,ATL,WR
56,Robby Anderson,NYJ,WR
58,Aaron Rodgers,GB,QB
59,D.J. Moore,CAR,WR
51,Alshon Jeffery,PHI,WR
53,Matt Ryan,ATL,QB
69,Baker Mayfield,CLE,QB
49,Melvin Gordon,LAC,RB
47,Miles Sanders,PHI,RB
72,Evan Engram,NYG,TE
54,Tevin Coleman,SF,RB
65,Hunter Henry,LAC,TE
71,Josh Gordon,NE,WR
83,Christian Kirk,ARI,WR
62,Curtis Samuel,CAR,WR
88,Will Fuller,HOU,WR
85,Duke Johnson,HOU,RB
80,James White,NE,RB
90,Dede Westbrook,JAC,WR
61,Jared Cook,NO,TE
73,Carson Wentz,PHI,QB
78,Russell Wilson,SEA,QB
67,Jarvis Landry,CLE,WR
70,Phillip Lindsay,DEN,RB
94,Cam Newton,CAR,QB
81,Kyler Murray,ARI,QB
86,Vance McDonald,PIT,TE
82,Lamar Jackson,BAL,QB
105,Kenyan Drake,MIA,RB
91,Corey Davis,TEN,WR
96,David Njoku,CLE,TE
95,Royce Freeman,DEN,RB
74,Latavius Murray,NO,RB
106,Jameis Winston,TB,QB
77,A.J. Green,CIN,WR
76,Austin Hooper,ATL,TE
79,Sterling Shepard,NYG,WR
68,Larry Fitzgerald,ARI,WR
89,Tarik Cohen,CHI,RB
66,Drew Brees,NO,QB
84,Mark Andrews,BAL,TE
75,Marvin Jones,DET,WR
87,Sammy Watkins,KC,WR
124,Rashaad Penny,SEA,RB
100,Derrius Guice,WAS,RB
109,Austin Ekeler,LAC,RB
93,Dak Prescott,DAL,QB
102,Matt Breida,SF,RB
122,Darrell Henderson,LAR,RB
137,Marquez Valdes-Scantling,GB,WR
107,Jared Goff,LAR,QB
108,Philip Rivers,LAC,QB
115,Ben Roethlisberger,PIT,QB
92,Michael Gallup,DAL,WR
127,Donte Moncrief,PIT,WR
98,Dante Pettis,SF,WR
99,Eric Ebron,IND,TE
119,Geronimo Allison,GB,WR
114,Emmanuel Sanders,DEN,WR
103,Keke Coutee,HOU,WR
97,Anthony Miller,CHI,WR
117,Trey Burton,CHI,TE
118,Courtland Sutton,DEN,WR
111,Kyle Rudolph,MIN,TE
101,Jamison Crowder,NYJ,WR
121,Mitch Trubisky,CHI,QB
143,Jimmy Garoppolo,SF,QB
104,Kirk Cousins,MIN,QB
112,DeSean Jackson,PHI,WR
128,Chicago Bears,CHI,DST
