rank,player,team,pos
1,Saquon Barkley,NYG,RB
2,Alvin Kamara,NO,RB
3,Christian McCaffrey,CAR,RB
5,Nick Chubb,CLE,RB
4,Ezekiel Elliott,DAL,RB
6,DeAndre Hopkins,HOU,WR
13,David Johnson,ARI,RB
7,Davante Adams,GB,WR
14,James Conner,PIT,RB
11,Julio Jones,ATL,WR
9,Dalvin Cook,MIN,RB
12,Odell Beckham Jr.,CLE,WR
8,Le'Veon Bell,NYJ,RB
10,Michael Thomas,NO,WR
15,JuJu Smith-Schuster,PIT,WR
16,Travis Kelce,KC,TE
20,Tyreek Hill,KC,WR
31,Joe Mixon,CIN,RB
18,George Kittle,SF,TE
25,Mike Evans,TB,WR
28,Damien Williams,KC,RB
32,Keenan Allen,LAC,WR
27,Kerryon Johnson,DET,RB
23,Aaron Jones,GB,RB
44,Devonta Freeman,ATL,RB
24,Antonio Brown,OAK,WR
35,Amari Cooper,DAL,WR
22,Zach Ertz,PHI,TE
29,Adam Thielen,MIN,WR
30,Stefon Diggs,MIN,WR
26,Chris Godwin,TB,WR
17,Derrick Henry,TEN,RB
46,Todd Gurley,LAR,RB
49,Brandin Cooks,LAR,WR
41,Robert Woods,LAR,WR
19,David Montgomery,CHI,RB
58,Leonard Fournette,JAC,RB
50,Patrick Mahomes,KC,QB
40,Marlon Mack,IND,RB
33,Julian Edelman,NE,WR
36,T.Y. Hilton,IND,WR
42,Chris Carson,SEA,RB
21,Deshaun Watson,HOU,QB
51,Mark Ingram,BAL,RB
64,Kenny Golladay,DET,WR
37,Tyler Lockett,SEA,WR
47,Josh Jacobs,OAK,RB
48,Allen Robinson,CHI,WR
34,Tyler Boyd,CIN,WR
39,Mike Williams,LAC,WR
52,Sony Michel,NE,RB
53,O.J. Howard,TB,TE
43,Cooper Kupp,LAR,WR
63,Calvin Ridley,ATL,WR
38,Robby Anderson,NYJ,WR
54,Aaron Rodgers,GB,QB
61,D.J. Moore,CAR,WR
66,Alshon Jeffery,PHI,WR
60,Matt Ryan,ATL,QB
55,Baker Mayfield,CLE,QB
65,Melvin Gordon,LAC,RB
75,Miles Sanders,PHI,RB
62,Evan Engram,NYG,TE
59,Tevin Coleman,SF,RB
68,Hunter Henry,LAC,TE
45,Josh Gordon,NE,WR
57,Christian Kirk,ARI,WR
74,Curtis Samuel,CAR,WR
72,Will Fuller,HOU,WR
70,Duke Johnson,HOU,RB
56,James White,NE,RB
73,Dede Westbrook,JAC,WR
71,Jared Cook,NO,TE
88,Carson Wentz,PHI,QB
91,Russell Wilson,SEA,QB
77,Jarvis Landry,CLE,WR
108,Phillip Lindsay,DEN,RB
69,Cam Newton,CAR,QB
67,Kyler Murray,ARI,QB
76,Vance McDonald,PIT,TE
84,Lamar Jackson,BAL,QB
86,Kenyan Drake,MIA,RB
87,Corey Davis,TEN,WR
106,David Njoku,CLE,TE
82,Royce Freeman,DEN,RB
111,Latavius Murray,NO,RB
97,Jameis Winston,TB,QB
85,A.J. Green,CIN,WR
101,Austin Hooper,ATL,TE
83,Sterling Shepard,NYG,WR
79,Larry Fitzgerald,ARI,WR
78,Tarik Cohen,CHI,RB
103,Drew Brees,NO,QB
89,Mark Andrews,BAL,TE
113,Marvin Jones,DET,WR
80,Sammy Watkins,KC,WR
117,Rashaad Penny,SEA,RB
81,Derrius Guice,WAS,RB
129,Austin Ekeler,LAC,RB
98,Dak Prescott,DAL,QB
134,Matt Breida,SF,RB
119,Darrell Henderson,LAR,RB
92,Marquez Valdes-Scantling,GB,WR
110,Jared Goff,LAR,QB
105,Philip Rivers,LAC,QB
104,Ben Roethlisberger,PIT,QB
95,Michael Gallup,DAL,WR
94,Donte Moncrief,PIT,WR
109,Dante Pettis,SF,WR
99,Eric Ebron,IND,TE
100,Geronimo Allison,GB,WR
93,Emmanuel Sanders,DEN,WR
107,Keke Coutee,HOU,WR
114,Anthony Miller,CHI,WR
112,Trey Burton,CHI,TE
126,Courtland Sutton,DEN,WR
118,Kyle Rudolph,MIN,TE
96,Jamison Crowder,NYJ,WR
116,Mitch Trubisky,CHI,QB
152,Jimmy Garoppolo,SF,QB
135,Kirk Cousins,MIN,QB
123,DeSean Jackson,PHI,WR
125,Chicago Bears,CHI,DST
90,Delanie Walker,TEN,TE
147,Tom Brady,NE,QB
102,Josh Allen,BUF,QB
115,Jordan Howard,PHI,RB
169,Devin Singletary,BUF,RB
141,Kalen Ballage,MIA,RB
149,Jacksonville Jaguars,JAC,DST
132,Devin Funchess,IND,WR
139,Sam Darnold,NYJ,QB
144,Los Angeles Rams,LAR,DST
145,DaeSean Hamilton,DEN,WR
