rank,player,team,pos
2,Saquon Barkley,NYG,RB
4,Alvin Kamara,NO,RB
3,Christian McCaffrey,CAR,RB
1,Nick Chubb,CLE,RB
5,Ezekiel Elliott,DAL,RB
14,DeAndre Hopkins,HOU,WR
6,David Johnson,ARI,RB
17,Davante Adams,GB,WR
7,James Conner,PIT,RB
13,Julio Jones,ATL,WR
8,Dalvin Cook,MIN,RB
12,Odell Beckham Jr.,CLE,WR
27,Le'Veon Bell,NYJ,RB
18,Michael Thomas,NO,WR
15,JuJu Smith-Schuster,PIT,WR
11,Travis Kelce,KC,TE
16,Tyreek Hill,KC,WR
22,Joe Mixon,CIN,RB
19,George Kittle,SF,TE
23,Mike Evans,TB,WR
9,Damien Williams,KC,RB
24,Keenan Allen,LAC,WR
21,Kerryon Johnson,DET,RB
10,Aaron Jones,GB,RB
20,Devonta Freeman,ATL,RB
31,Antonio Brown,OAK,WR
26,Amari Cooper,DAL,WR
55,Zach Ertz,PHI,TE
33,Adam Thielen,MIN,WR
32,Stefon Diggs,MIN,WR
25,Chris Godwin,TB,WR
30,Derrick Henry,TEN,RB
41,Todd Gurley,LAR,RB
39,Brandin Cooks,LAR,WR
42,Robert Woods,LAR,WR
28,David Montgomery,CHI,RB
34,Leonard Fournette,JAC,RB
37,Patrick Mahomes,KC,QB
78,Marlon Mack,IND,RB
38,Julian Edelman,NE,WR
43,T.Y. Hilton,IND,WR
49,Chris Carson,SEA,RB
46,Deshaun Watson,HOU,QB
29,Mark Ingram,BAL,RB
36,Kenny Golladay,DET,WR
53,Tyler Lockett,SEA,WR
40,Josh Jacobs,OAK,RB
57,Allen Robinson,CHI,WR
71,Tyler Boyd,CIN,WR
45,Mike Williams,LAC,WR
68,Sony Michel,NE,RB
35,O.J. Howard,TB,TE
59,Cooper Kupp,LAR,WR
62,Calvin Ridley,ATL,WR
44,Robby Anderson,NYJ,WR
56,Aaron Rodgers,GB,QB
63,D.J. Moore,CAR,WR
54,Alshon Jeffery,PHI,WR
65,Matt Ryan,ATL,QB
50,Baker Mayfield,CLE,QB
79,Melvin Gordon,LAC,RB
48,Miles Sanders,PHI,RB
61,Evan Engram,NYG,TE
72,Tevin Coleman,SF,RB
66,Hunter Henry,LAC,TE
70,Josh Gordon,NE,WR
60,Christian Kirk,ARI,WR
64,Curtis Samuel,CAR,WR
51,Will Fuller,HOU,WR
47,Duke Johnson,HOU,RB
100,James White,NE,RB
52,Dede Westbrook,JAC,WR
90,Jared Cook,NO,TE
88,Carson Wentz,PHI,QB
94,Russell Wilson,SEA,QB
117,Jarvis Landry,CLE,WR
98,Phillip Lindsay,DEN,RB
73,Cam Newton,CAR,QB
67,Kyler Murray,ARI,QB
69,Vance McDonald,PIT,TE
58,Lamar Jackson,BAL,QB
80,Kenyan Drake,MIA,RB
87,Corey Davis,TEN,WR
89,David Njoku,CLE,TE
99,Royce Freeman,DEN,RB
81,Latavius Murray,NO,RB
85,Jameis Winston,TB,QB
82,A.J. Green,CIN,WR
95,Austin Hooper,ATL,TE
92,Sterling Shepard,NYG,WR
97,Larry Fitzgerald,ARI,WR
145,Tarik Cohen,CHI,RB
113,Drew Brees,NO,QB
74,Mark Andrews,BAL,TE
119,Marvin Jones,DET,WR
120,Sammy Watkins,KC,WR
77,Rashaad Penny,SEA,RB
144,Derrius Guice,WAS,RB
104,Austin Ekeler,LAC,RB
134,Dak Prescott,DAL,QB
108,Matt Breida,SF,RB
75,Darrell Henderson,LAR,RB
76,Marquez Valdes-Scantling,GB,WR
112,Jared Goff,LAR,QB
114,Philip Rivers,LAC,QB
118,Ben Roethlisberger,PIT,QB
116,Michael Gallup,DAL,WR
84,Donte Moncrief,PIT,WR
83,Dante Pettis,SF,WR
149,Eric Ebron,IND,TE
86,Geronimo Allison,GB,WR
133,Emmanuel Sanders,DEN,WR
102,Keke Coutee,HOU,WR
125,Anthony Miller,CHI,WR
122,Trey Burton,CHI,TE
129,Courtland Sutton,DEN,WR
123,Kyle Rudolph,MIN,TE
132,Jamison Crowder,NYJ,WR
148,Mitch Trubisky,CHI,QB
91,Jimmy Garoppolo,SF,QB
136,Kirk Cousins,MIN,QB
93,DeSean Jackson,PHI,WR
128,Chicago Bears,CHI,DST
96,Delanie Walker,TEN,TE
121,Tom Brady,NE,QB
111,Josh Allen,BUF,QB
105,Jordan Howard,PHI,RB
103,Devin Singletary,BUF,RB
143,Kalen Ballage,MIA,RB
138,Jacksonville Jaguars,JAC,DST
164,Devin Funchess,IND,WR
141,Sam Darnold,NYJ,QB
131,Los Angeles Rams,LAR,DST
165,DaeSean Hamilton,DEN,WR
110,Ronald Jones II,TB,RB
147,Minnesota Vikings,MIN,DST
139,Tyrell Williams,OAK,WR
151,Los Angeles Chargers,LAC,DST
115,Jordan Reed,WAS,TE
137,Baltimore Ravens,BAL,DST
161,Marquise Goodwin,SF,WR
166,Cleveland Browns,CLE,DST
150,Matthew Stafford,DET,QB
