rank,player,team,pos
2,Saquon Barkley,NYG,RB
3,Alvin Kamara,NO,RB
1,Christian McCaffrey,CAR,RB
9,Nick Chubb,CLE,RB
4,Ezekiel Elliott,DAL,RB
5,DeAndre Hopkins,HOU,WR
8,David Johnson,ARI,RB
6,Davante Adams,GB,WR
10,James Conner,PIT,RB
15,Julio Jones,ATL,WR
12,Dalvin Cook,MIN,RB
20,Odell Beckham Jr.,CLE,WR
14,Le'Veon Bell,NYJ,RB
13,Michael Thomas,NO,WR
7,JuJu Smith-Schuster,PIT,WR
16,Travis Kelce,KC,TE
18,Tyreek Hill,KC,WR
11,Joe Mixon,CIN,RB
21,George Kittle,SF,TE
17,Mike Evans,TB,WR
33,Damien Williams,KC,RB
25,Keenan Allen,LAC,WR
24,Kerryon Johnson,DET,RB
42,Aaron Jones,GB,RB
23,Devonta Freeman,ATL,RB
28,Antonio Brown,OAK,WR
26,Amari Cooper,DAL,WR
22,Zach Ertz,PHI,TE
30,Adam Thielen,MIN,WR
32,Stefon Diggs,MIN,WR
35,Chris Godwin,TB,WR
27,Derrick Henry,TEN,RB
38,Todd Gurley,LAR,RB
34,Brandin Cooks,LAR,WR
29,Robert Woods,LAR,WR
58,David Montgomery,CHI,RB
31,Leonard Fournette,JAC,RB
51,Patrick Mahomes,KC,QB
19,Marlon Mack,IND,RB
72,Julian Edelman,NE,WR
36,T.Y. Hilton,IND,WR
41,Chris Carson,SEA,RB
52,Deshaun Watson,HOU,QB
54,Mark Ingram,BAL,RB
43,Kenny Golladay,DET,WR
45,Tyler Lockett,SEA,WR
49,Josh Jacobs,OAK,RB
40,Allen Robinson,CHI,WR
39,Tyler Boyd,CIN,WR
61,Mike Williams,LAC,WR
44,Sony Michel,NE,RB
48,O.J. Howard,TB,TE
50,Cooper Kupp,LAR,WR
46,Calvin Ridley,ATL,WR
66,Robby Anderson,NYJ,WR
59,Aaron Rodgers,GB,QB
37,D.J. Moore,CAR,WR
63,Alshon Jeffery,PHI,WR
53,Matt Ryan,ATL,QB
60,Baker Mayfield,CLE,QB
57,Melvin Gordon,LAC,RB
75,Miles Sanders,PHI,RB
62,Evan Engram,NYG,TE
82,Tevin Coleman,SF,RB
68,Hunter Henry,LAC,TE
78,Josh Gordon,NE,WR
64,Christian Kirk,ARI,WR
74,Curtis Samuel,CAR,WR
55,Will Fuller,HOU,WR
83,Duke Johnson,HOU,RB
65,James White,NE,RB
73,Dede Westbrook,JAC,WR
93,Jared Cook,NO,TE
67,Carson Wentz,PHI,QB
69,Russell Wilson,SEA,QB
47,Jarvis Landry,CLE,WR
56,Phillip Lindsay,DEN,RB
86,Cam Newton,CAR,QB
102,Kyler Murray,ARI,QB
91,Vance McDonald,PIT,TE
94,Lamar Jackson,BAL,QB
84,Kenyan Drake,MIA,RB
80,Corey Davis,TEN,WR
77,David Njoku,CLE,TE
88,Royce Freeman,DEN,RB
103,Latavius Murray,NO,RB
76,Jameis Winston,TB,QB
101,A.J. Green,CIN,WR
71,Austin Hooper,ATL,TE
87,Sterling Shepard,NYG,WR
110,Larry Fitzgerald,ARI,WR
70,Tarik Cohen,CHI,RB
116,Drew Brees,NO,QB
133,Mark Andrews,BAL,TE
85,Marvin Jones,DET,WR
81,Sammy Watkins,KC,WR
99,Rashaad Penny,SEA,RB
97,Derrius Guice,WAS,RB
92,Austin Ekeler,LAC,RB
90,Dak Prescott,DAL,QB
79,Matt Breida,SF,RB
117,Darrell Henderson,LAR,RB
100,Marquez Valdes-Scantling,GB,WR
104,Jared Goff,LAR,QB
114,Philip Rivers,LAC,QB
115,Ben Roethlisberger,PIT,QB
108,Michael Gallup,DAL,WR
135,Donte Moncrief,PIT,WR
145,Dante Pettis,SF,WR
105,Eric Ebron,IND,TE
98,Geronimo Allison,GB,WR
112,Emmanuel Sanders,DEN,WR
127,Keke Coutee,HOU,WR
89,Anthony Miller,CHI,WR
119,Trey Burton,CHI,TE
95,Courtland Sutton,DEN,WR
125,Kyle Rudolph,MIN,TE
122,Jamison Crowder,NYJ,WR
113,Mitch Trubisky,CHI,QB
147,Jimmy Garoppolo,SF,QB
123,Kirk Cousins,MIN,QB
157,DeSean Jackson,PHI,WR
138,Chicago Bears,CHI,DST
107,Delanie Walker,TEN,TE
129,Tom Brady,NE,QB
155,Josh Allen,BUF,QB
173,Jordan Howard,PHI,RB
124,Devin Singletary,BUF,RB
153,Kalen Ballage,MIA,RB
143,Jacksonville Jaguars,JAC,DST
96,Devin Funchess,IND,WR
151,Sam Darnold,NYJ,QB
156,Los Angeles Rams,LAR,DST
120,DaeSean Hamilton,DEN,WR
130,Ronald Jones II,TB,RB
163,Minnesota Vikings,MIN,DST
106,Tyrell Williams,OAK,WR
149,Los Angeles Chargers,LAC,DST
134,Jordan Reed,WAS,TE
161,Baltimore Ravens,BAL,DST
139,Marquise Goodwin,SF,WR
162,Cleveland Browns,CLE,DST
159,Matthew Stafford,DET,QB
141,Peyton Barber,TB,RB
160,T.J. Hockenson,DET,TE
152,John Brown,BUF,WR
172,Houston Texans,HOU,DST
167,Greg Zuerlein,LAR,K
174,Derek Carr,OAK,QB
111,LeSean McCoy,BUF,RB
