P,Tm,Pos,One,espn-cockcroft,espn-field-yates,espn-karabell,espn-matt-berry,espn-mike-clay,fantasypros,ffc,ffc15,ffc16,sportingnews,yahoo-andy-behrens,yahoo-brad-evans,yahoo-dalton-del-don,yahoo-liz-loza,yahoo-scott-pianowski
Aaron Jones,GB,RB,1,31,27,27,24,34,24,28,29,29,30,21,23,10,42,42
Aaron Rodgers,GB,QB,1,68,77,60,64,71,56,64,9,9,47,58,54,56,53,59
Adam Humphries,TEN,WR,1,135,90,,172,126,189,183,159,159,,,,,,
Adam Shaheen,CHI,TE,1,,,,,,,,240,240,,,,,,
Adam Thielen,MIN,WR,1,25,33,23,26,36,29,23,35,35,20,28,29,33,32,30
Adam Vinatieri,IND,K,1,,,,158,256,237,,,,,,,,,
Adrian Peterson,WAS,RB,1,148,,,193,202,158,109,112,112,90,,,,104,
AJ Brown,TEN,WR,1,,,,,196,257,,153,153,,,,,,
AJ Green,CIN,WR,1,57,50,58,58,56,88,60,51,51,66,77,85,82,103,101
AJ McCarron,HOU,QB,1,,,,,,,,37,37,,,,,,
Albert Wilson,MIA,WR,1,154,,,184,130,214,,116,116,,,,,,
Aldrick Rosas,NYG,K,1,,,,,224,245,,,,,,,,,
Alexander Mattison,MIN,RB,1,,,,118,206,,132,220,220,181,,,,,
Alfred Blue,JAX,RB,1,,,,,276,,,206,206,,,,,,
Alfred Morris,DAL,RB,1,,,,,265,,,,,,,,,,
Allen Hurns,MIA,WR,1,,,,,,,,264,264,,,,,,
Allen Robinson,CHI,WR,1,54,63,70,80,52,48,75,55,55,78,48,48,57,45,40
Alshon Jeffery,PHI,WR,1,48,54,52,61,47,58,71,56,56,49,51,66,54,62,63
Alvin Kamara,NO,RB,1,2,3,4,3,3,2,3,3,3,3,2,2,4,1,3
Amari Cooper,DAL,WR,1,27,32,26,33,27,27,35,20,20,29,30,35,26,26,26
Ameer Abdullah,MIN,RB,1,,,,,,,,255,255,,,,,,
Andre Ellington,TB,RB,1,,,,,250,,,235,235,,,,,,
Andrew Luck,IND,QB,1,,,,,,,,3,3,,,,,,
Andy Dalton,CIN,QB,1,,,,,266,174,,24,24,,,,,,
Andy Isabella,ARI,WR,1,,,,,180,225,,145,145,,,,,,
Anthony Miller,CHI,WR,1,114,,,103,122,114,133,102,102,114,97,114,125,155,89
Antonio Brown,OAK,WR,1,23,29,19,22,16,26,22,15,15,19,27,24,31,33,28
Antonio Callaway,CLE,WR,1,,,,,294,244,,239,239,,,,,,
ARI,ARI,DST,1,,,,,299,279,,,,,,,,,
ATL,ATL,DST,1,,,,,,276,,,,,,,,,
Austin Ekeler,LAC,RB,1,82,,66,89,82,99,59,64,64,122,109,129,104,77,92
Austin Hooper,ATL,TE,1,115,,,105,113,89,128,120,120,162,76,101,95,108,71
Baker Mayfield,CLE,QB,1,86,98,84,65,87,60,73,2,2,56,69,55,50,63,60
BAL,BAL,DST,1,195,,,,253,140,139,,,,,,137,145,161
Ben Roethlisberger,PIT,QB,1,127,,,87,115,106,125,13,13,83,115,104,118,88,115
Benjamin Watson,NE,TE,1,,,,,289,,,181,181,,,,,,
Bennie Fowler,NYG,WR,1,,,,,,,,236,236,,,,,,
Benny Cunningham,JAX,RB,1,,,,,,,,251,251,,,,,,
Benny Snell Jr,PIT,RB,1,,,,,238,273,,218,218,,,,,,
Bilal Powell,NYJ,RB,1,,,,,278,,,193,193,,,,,,
Blake Bortles,LAR,QB,1,,,,,,,,43,43,,,,,,
Blake Jarwin,DAL,TE,1,,,,,,,,200,200,,,,,,
Brandin Cooks,LAR,WR,1,30,34,37,47,37,34,39,38,38,37,32,49,39,30,34
Brandon McManus,DEN,K,1,,,,,,265,,,,,,,,,
Breshad Perriman,TB,WR,1,,,,,271,,,210,210,,,,,,
Brett Maher,DAL,K,1,181,,,159,159,211,199,,,198,,,,,
Bryce Love,WAS,RB,1,,,,,279,,,272,272,,,,,,
BUF,BUF,DST,1,170,,,149,143,191,181,,,,,,,,
Cairo Santos,TB,K,1,,,,,,259,,,,,,,,,
Calvin Ridley,ATL,WR,1,56,82,56,88,53,54,54,52,52,28,50,63,62,38,46
Cam Newton,CAR,QB,1,95,97,83,98,89,78,96,17,17,105,94,69,73,80,86
Cameron Artis-Payne,CAR,RB,1,,,,,282,,,231,231,,,,,,
Cameron Brate,TB,TE,1,,,,,,271,,138,138,,,,,,
CAR,CAR,DST,1,,,,,285,233,,,,,,,,,
Carlos Hyde,KC,RB,1,124,,,177,185,213,166,168,168,167,,,,,
Carson Wentz,PHI,QB,1,103,,82,66,88,74,81,5,5,73,73,88,88,72,67
Case Keenum,WAS,QB,1,,,,,296,275,,33,33,,,,,,
Chad Beebe,MIN,WR,1,,,,,,,,222,222,,,,,,
Charles Clay,ARI,TE,1,,,,,,,,224,224,,,,,,
Chase Edmonds,ARI,RB,1,,,,200,208,248,193,198,198,,,,,,
Chester Rogers,IND,WR,1,,,,,,,,243,243,,,,,,
CHI,CHI,DST,1,139,,,141,141,123,98,,,,128,125,128,121,138
Chris Boswell,PIT,K,1,,,,,,260,,,,,,,,,
Chris Carson,SEA,RB,1,42,36,49,27,33,42,29,33,33,38,36,42,49,49,41
Chris Conley,JAX,WR,1,,,,,163,,,154,154,,,,,,
Chris Godwin,TB,WR,1,40,51,44,46,42,31,44,45,45,85,34,26,25,34,35
Chris Herndon,NYJ,TE,1,184,,,,193,159,,167,167,,,,,220,
Chris Hogan,CAR,WR,1,,,,,,,,260,260,180,,,,,
Chris Moore,BAL,WR,1,,,,,,,,212,212,,,,,,
Chris Thompson,WAS,RB,1,137,,,164,174,182,,137,137,163,,,,,
Christian Kirk,ARI,WR,1,69,89,73,85,78,67,83,68,68,175,83,57,60,70,64
Christian McCaffrey,CAR,RB,1,3,2,2,2,2,3,2,2,2,4,3,3,3,4,1
CJ Anderson,DET,RB,1,183,,,196,200,235,185,131,131,151,,,,,
CJ Beathard,SF,QB,1,,,,,,,,38,38,,,,,,
CJ Uzomah,CIN,TE,1,,,,,,,,183,183,,,,,,
CLE,CLE,DST,1,,,,,222,142,157,,,,,,166,144,162
Cody Core,CIN,WR,1,,,,,,,,291,291,,,,,,
Cole Beasley,BUF,WR,1,,,,,214,,182,164,164,,,,,,
Cooper Kupp,LAR,WR,1,43,38,41,41,41,53,47,54,54,54,57,43,59,48,50
Cordarrelle Patterson,CHI,WR,1,,,,,,,,286,286,,,,,,
Corey Clement,PHI,RB,1,,,,,,,,228,228,,,,,,
Corey Davis,TEN,WR,1,81,72,72,104,91,83,108,62,62,63,91,87,87,92,80
Courtland Sutton,DEN,WR,1,90,,,114,95,116,123,75,75,97,118,126,129,128,95
Curtis Samuel,CAR,WR,1,79,61,96,90,93,68,78,65,65,115,62,74,64,69,74
DaeSean Hamilton,DEN,WR,1,134,,,188,140,134,,146,146,,,145,165,163,120
Dak Prescott,DAL,QB,1,136,,,128,90,100,134,16,16,92,93,98,134,99,90
DAL,DAL,DST,1,,,,,298,175,151,,,,,,,,
Dallas Goedert,PHI,TE,1,,,,189,257,154,,121,121,,,,,153,
Dalvin Cook,MIN,RB,1,18,19,14,19,19,11,14,17,17,16,19,9,8,17,12
Damarea Crockett,HOU,RB,1,151,,,,203,,,,,184,,,,,
Damien Harris,NE,RB,1,175,,,163,194,151,141,180,180,136,,,,115,
Damien Williams,KC,RB,1,34,28,21,23,35,21,21,19,19,36,22,28,9,31,33
Dan Bailey,MIN,K,1,,,,,,269,198,,,,,,,,
Daniel Jones,NYG,QB,1,,,,,,,,35,35,,,,,,
Danny Amendola,DET,WR,1,,,,,275,238,,176,176,,,,,,
Dante Pettis,SF,WR,1,84,,,107,98,109,100,71,71,172,98,109,83,127,145
Darrell Henderson,LAR,RB,1,98,99,97,92,103,102,89,88,88,130,122,119,75,91,117
Darren Sproles,PHI,RB,1,,,,,237,,,246,246,,,,,,
Darren Waller,OAK,TE,1,,,,162,247,208,,,,,,,,,
,,WR,1,,,,,,,,133,133,,,,,,
Darwin Thompson,KC,RB,1,146,,,124,104,160,84,288,288,100,,,,,
Davante Adams,GB,WR,1,8,9,8,5,9,8,7,6,6,9,7,7,17,7,6
David Johnson,ARI,RB,1,6,4,5,4,7,7,6,9,9,13,6,13,6,5,8
David Montgomery,CHI,RB,1,55,46,48,40,60,36,34,46,46,80,43,19,28,46,58
David Moore,SEA,WR,1,,,,,272,,,160,160,,,,,,
David Njoku,CLE,TE,1,96,,,179,111,84,94,93,93,119,96,106,89,73,77
David Williams,DEN,RB,1,,,,,,,,276,276,,,,,,
Dawson Knox,BUF,TE,1,,,,,293,,,223,223,,,,,,
Deandre Carter,HOU,WR,1,,,,,,,,299,299,,,,,,
DeAndre Hopkins,HOU,WR,1,5,10,7,6,5,6,5,5,5,7,4,6,14,8,5
Dede Westbrook,JAX,WR,1,76,76,91,72,75,72,72,67,67,124,90,73,52,94,73
Deebo Samuel,SF,WR,1,171,,,140,162,166,163,129,129,,,,,,
Delanie Walker,TEN,TE,1,102,,,110,112,124,117,85,85,107,,90,96,116,107
Demarcus Robinson,KC,WR,1,,,,,,,,271,271,,,,,,
Demaryius Thomas,NE,WR,1,,,,,,,,265,265,,,,,,
Demetrius Harris,CLE,TE,1,,,,,,,,269,269,,,,,,
DEN,DEN,DST,1,177,,,,150,188,158,,,,,,,,
Deon Cain,IND,WR,1,,,,,181,,,,,,,,,,
Derek Carr,OAK,QB,1,,,,195,182,149,186,25,25,99,,,,147,174
Derrick Henry,TEN,RB,1,39,58,33,50,32,32,42,28,28,34,40,17,30,44,27
Derrius Guice,WAS,RB,1,72,55,86,54,63,98,70,74,74,70,100,81,144,82,97
DeSean Jackson,PHI,WR,1,112,,95,120,120,122,116,83,83,98,112,123,93,149,157
Deshaun Watson,HOU,QB,1,50,62,59,49,69,43,58,4,4,39,52,21,46,52,52
DeShone Kizer,GB,QB,1,,,,,,,,41,41,,,,,,
DET,DET,DST,1,,,,,300,280,,,,,,,,,
DeVante Parker,MIA,WR,1,,,,,225,198,200,149,149,,,,,,
Devin Funchess,IND,WR,1,194,,,133,127,131,,104,104,137,,132,164,137,96
Devin Singletary,BUF,RB,1,161,,,115,135,128,118,197,197,129,,169,103,129,124
Devonta Freeman,ATL,RB,1,28,37,22,35,25,25,27,32,32,42,24,44,20,27,23
Devontae Booker,DEN,RB,1,,,,,,,,179,179,,,,,,
Dexter Williams,GB,RB,1,,,,,201,,,,,,,,,,
Dion Lewis,TEN,RB,1,106,100,,109,137,153,144,118,118,82,,,,111,
Diontae Johnson,PIT,WR,1,,,,,252,268,,279,279,,,,,,
DJ Chark,JAX,WR,1,,,,,175,250,,191,191,,,,,,
DJ Moore,CAR,WR,1,51,53,45,53,50,57,62,49,49,86,59,61,63,74,37
DK Metcalf,SEA,WR,1,145,,,,128,197,138,143,143,,,,,,
Donta Foreman,IND,RB,1,,,,,,,,161,161,,,,,,
Donte Moncrief,PIT,WR,1,110,,94,94,106,108,120,114,114,132,127,94,84,105,135
Dontrell Hilliard,CLE,RB,1,,,,,236,,,,,,,,,,
Dontrelle Inman,LAC,WR,1,,,,,,,,295,295,,,,,,
Doug Martin,OAK,RB,1,,,,,239,,,232,232,,,,,,
Drew Brees,NO,QB,1,107,,,106,114,93,87,8,8,69,66,103,113,78,116
Drew Lock,DEN,QB,1,,,,,,,,36,36,,,,,,
Duke Johnson,HOU,RB,1,80,56,68,59,64,70,67,132,132,96,85,70,47,84,83
Dwayne Allen,MIA,TE,1,,,,,,,,300,300,,,,,,
Dwayne Haskins,WAS,QB,1,,,,,,277,,29,29,,,,,,
Ed Dickson,SEA,TE,1,,,,,,,,252,252,,,,,,
Eli Manning,NYG,QB,1,,,,,267,253,,31,31,,,,,,
Elijah McGuire,NYJ,RB,1,,,,,,239,,233,233,,,,,,
Emmanuel Butler,NO,WR,1,,,,,,,,256,256,,,,,,
Emmanuel Sanders,DEN,WR,1,94,78,76,67,79,112,86,91,91,128,114,93,133,119,112
Eric Ebron,IND,TE,1,109,,,129,165,110,112,78,78,94,99,99,149,117,105
Evan Engram,NYG,TE,1,59,74,80,56,65,63,61,98,98,55,72,62,61,51,62
Ezekiel Elliott,DAL,RB,1,4,5,3,7,4,5,4,4,4,2,12,4,5,2,4
Frank Gore,BUF,RB,1,,,,199,209,264,,215,215,,,,,,
Gardner Minshew,JAX,QB,1,,,,,,,,44,44,,,,,,
Garrett Celek,SF,TE,1,,,,,,,,248,248,,,,,,
GB,GB,DST,1,,,,,,278,,,,,,,,,
