Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Saquon Barkley,NYG,RB,1,3,0.75
2,Alvin Kamara,NO,RB,1,4,1.02
3,Christian McCaffrey,CAR,RB,1,4,0.98
4,Nick Chubb,CLE,RB,1,9,2.56
5,Ezekiel Elliott,DAL,RB,2,12,3.44
6,DeAndre Hopkins,HOU,WR,4,14,3.56
7,David Johnson,ARI,RB,5,13,2.87
8,Davante Adams,GB,WR,6,17,4.12
9,James Conner,PIT,RB,7,14,2.24
10,Julio Jones,ATL,WR,8,15,2.33
11,Dalvin Cook,MIN,RB,8,19,4.34
12,Odell Beckham Jr.,CLE,WR,10,20,3.49
13,Le'Veon Bell,NYJ,RB,8,27,7.12
14,Michael Thomas,NO,WR,10,18,2.64
15,JuJu Smith-Schuster,PIT,WR,7,20,4.18
16,Travis Kelce,KC,TE,11,16,2.06
17,Tyreek Hill,KC,WR,14,20,2.04
18,Joe Mixon,CIN,RB,11,31,6.97
19,George Kittle,SF,TE,18,21,1.17
20,Mike Evans,TB,WR,17,25,3.49
21,Damien Williams,KC,RB,9,33,8.64
22,Keenan Allen,LAC,WR,24,32,2.93
23,Kerryon Johnson,DET,RB,21,41,7.17
24,Aaron Jones,GB,RB,10,42,12.56
25,Devonta Freeman,ATL,RB,20,44,8.5
26,Antonio Brown,OAK,WR,24,33,3.14
27,Amari Cooper,DAL,WR,26,35,3.56
28,Zach Ertz,PHI,TE,22,55,13.11
29,Adam Thielen,MIN,WR,28,33,1.85
30,Stefon Diggs,MIN,WR,29,32,1.36
31,Chris Godwin,TB,WR,25,35,4.35
32,Derrick Henry,TEN,RB,17,44,9.6
33,Todd Gurley,LAR,RB,19,46,9.98
34,Brandin Cooks,LAR,WR,30,49,6.79
35,Robert Woods,LAR,WR,29,42,4.59
36,David Montgomery,CHI,RB,19,58,13.76
37,Leonard Fournette,JAC,RB,31,58,10.15
38,Patrick Mahomes,KC,QB,21,51,10.87
39,Marlon Mack,IND,RB,19,78,20.17
40,Julian Edelman,NE,WR,33,72,15.01
41,T.Y. Hilton,IND,WR,36,60,9.3
42,Chris Carson,SEA,RB,36,49,5
43,Deshaun Watson,HOU,QB,21,52,12.03
44,Mark Ingram,BAL,RB,29,54,8.78
45,Kenny Golladay,DET,WR,36,64,9.44
46,Tyler Lockett,SEA,WR,37,59,8.73
47,Josh Jacobs,OAK,RB,40,50,3.5
48,Allen Robinson,CHI,WR,40,57,5.54
49,Tyler Boyd,CIN,WR,34,71,13.45
50,Mike Williams,LAC,WR,39,64,10.8
51,Sony Michel,NE,RB,35,68,11.05
52,O.J. Howard,TB,TE,35,63,9.6
53,Cooper Kupp,LAR,WR,43,59,5.89
54,Calvin Ridley,ATL,WR,38,63,9.56
55,Robby Anderson,NYJ,WR,38,66,10.32
56,Aaron Rodgers,GB,QB,53,59,2.28
57,D.J. Moore,CAR,WR,37,74,12.07
58,Alshon Jeffery,PHI,WR,51,66,5.71
59,Matt Ryan,ATL,QB,53,65,5.38
60,Baker Mayfield,CLE,QB,50,69,6.53
61,Melvin Gordon,LAC,RB,49,79,10.48
62,Miles Sanders,PHI,RB,47,75,12.3
63,Evan Engram,NYG,TE,51,72,6.65
64,Tevin Coleman,SF,RB,54,82,10.73
65,Hunter Henry,LAC,TE,64,68,1.6
66,Josh Gordon,NE,WR,45,78,11.22
67,Christian Kirk,ARI,WR,57,83,9.2
68,Curtis Samuel,CAR,WR,62,74,4.96
69,Will Fuller,HOU,WR,51,89,15.94
70,Duke Johnson,HOU,RB,47,85,14.47
71,James White,NE,RB,56,100,15
72,Dede Westbrook,JAC,WR,52,94,14.92
73,Jared Cook,NO,TE,61,93,12.77
74,Carson Wentz,PHI,QB,67,88,8.73
75,Russell Wilson,SEA,QB,57,94,13.76
76,Jarvis Landry,CLE,WR,47,117,23.39
77,Phillip Lindsay,DEN,RB,56,108,19.9
78,Cam Newton,CAR,QB,69,94,8.96
79,Kyler Murray,ARI,QB,67,102,13.09
80,Vance McDonald,PIT,TE,69,91,7.66
81,Lamar Jackson,BAL,QB,58,106,15.88
82,Kenyan Drake,MIA,RB,76,105,10.01
83,Corey Davis,TEN,WR,80,92,4.22
84,David Njoku,CLE,TE,73,106,12.12
85,Royce Freeman,DEN,RB,79,99,7.55
86,Latavius Murray,NO,RB,74,111,15.26
87,Jameis Winston,TB,QB,76,106,10.71
88,A.J. Green,CIN,WR,77,103,10.46
89,Austin Hooper,ATL,TE,71,108,14.33
90,Sterling Shepard,NYG,WR,79,118,13.79
91,Larry Fitzgerald,ARI,WR,68,110,16.82
92,Tarik Cohen,CHI,RB,70,145,26.6
93,Drew Brees,NO,QB,66,116,19.79
94,Mark Andrews,BAL,TE,74,133,20.4
95,Marvin Jones,DET,WR,75,119,17.09
96,Sammy Watkins,KC,WR,80,135,22.6
97,Rashaad Penny,SEA,RB,77,124,17.67
98,Derrius Guice,WAS,RB,81,144,22.92
99,Austin Ekeler,LAC,RB,77,129,17.36
100,Dak Prescott,DAL,QB,90,134,15.94
101,Matt Breida,SF,RB,79,134,17.94
102,Darrell Henderson,LAR,RB,75,122,18.57
103,Marquez Valdes-Scantling,GB,WR,76,137,21.67
104,Jared Goff,LAR,QB,97,112,5.25
105,Philip Rivers,LAC,QB,95,114,7.03
106,Ben Roethlisberger,PIT,QB,88,118,11.08
107,Michael Gallup,DAL,WR,92,131,14.26
108,Donte Moncrief,PIT,WR,84,135,19.32
109,Dante Pettis,SF,WR,83,145,21.72
110,Eric Ebron,IND,TE,99,149,18.79
111,Geronimo Allison,GB,WR,86,167,28.53
112,Emmanuel Sanders,DEN,WR,93,133,12.89
113,Keke Coutee,HOU,WR,102,140,15.12
114,Anthony Miller,CHI,WR,89,155,23.22
115,Trey Burton,CHI,TE,112,122,3.54
116,Courtland Sutton,DEN,WR,95,129,12.7
117,Kyle Rudolph,MIN,TE,111,125,5.06
118,Jamison Crowder,NYJ,WR,96,154,21.15
119,Mitch Trubisky,CHI,QB,113,148,12.6
120,Jimmy Garoppolo,SF,QB,91,152,26.13
121,Kirk Cousins,MIN,QB,104,136,12.14
122,DeSean Jackson,PHI,WR,93,157,23.58
123,Chicago Bears,CHI,DST,121,138,5.62
124,Delanie Walker,TEN,TE,90,116,10.01
125,Tom Brady,NE,QB,112,147,11.76
126,Josh Allen,BUF,QB,102,155,19.73
127,Jordan Howard,PHI,RB,93,173,31.91
128,Devin Singletary,BUF,RB,103,169,21.36
129,Kalen Ballage,MIA,RB,100,153,18.27
130,Jacksonville Jaguars,JAC,DST,125,149,8.05
131,Devin Funchess,IND,WR,96,179,28.61
132,Sam Darnold,NYJ,QB,138,151,4.71
133,Los Angeles Rams,LAR,DST,131,156,10.34
134,DaeSean Hamilton,DEN,WR,120,165,17.14
135,Ronald Jones II,TB,RB,101,156,21.12
136,Minnesota Vikings,MIN,DST,137,163,9.21
137,Tyrell Williams,OAK,WR,106,198,32.9
138,Los Angeles Chargers,LAC,DST,131,160,9.97
139,Jordan Reed,WAS,TE,115,148,12.87
140,Baltimore Ravens,BAL,DST,130,180,17.96
141,Marquise Goodwin,SF,WR,133,175,15.1
142,Cleveland Browns,CLE,DST,141,166,9.83
143,Matthew Stafford,DET,QB,146,159,4.54
144,Peyton Barber,TB,RB,113,157,15.96
145,T.J. Hockenson,DET,TE,121,160,15.77
146,John Brown,BUF,WR,126,173,16.43
147,Houston Texans,HOU,DST,145,172,11.36
148,Greg Zuerlein,LAR,K,151,170,7.92
149,Derek Carr,OAK,QB,147,174,8.98
150,LeSean McCoy,BUF,RB,107,116,3.68
151,Damien Harris,NE,RB,106,189,33.88
152,Greg Olsen,CAR,TE,127,160,14.67
153,Dion Lewis,TEN,RB,109,132,10.4
154,Dallas Goedert,PHI,TE,138,153,5.63
155,Golden Tate,NYG,WR,136,171,13.46
156,Jack Doyle,IND,TE,124,186,24.32
157,Justin Tucker,BAL,K,153,187,12.16
158,Adrian Peterson,WAS,RB,104,153,20.4
159,Chris Herndon IV,NYJ,TE,126,220,38.74
160,Darwin Thompson,KC,RB,107,147,16.34
161,Jaylen Samuels,PIT,RB,101,160,24.28
162,Nyheim Hines,IND,RB,113,165,22.86
163,Jimmy Graham,GB,TE,120,143,10.21
164,Kenny Stills,MIA,WR,148,183,14.29
165,Tre'Quan Smith,NO,WR,158,189,11.12
166,Deebo Samuel,SF,WR,135,191,20.6
167,Harrison Butker,KC,K,155,177,7.95
168,Justice Hill,BAL,RB,132,161,12.83
169,Tony Pollard,DAL,RB,109,207,42.39
170,N'Keal Harry,NE,WR,142,194,20.1
171,Justin Jackson,LAC,RB,128,166,15.54
172,Nick Foles,JAC,QB,155,223,25.8
173,Jacoby Brissett,IND,QB,143,220,28.97
174,Andy Dalton,CIN,QB,150,184,13.16
175,Dallas Cowboys,DAL,DST,169,204,11.53
176,Mohamed Sanu,ATL,WR,170,193,9.71
177,James Washington,PIT,WR,165,185,7.5
178,Zay Jones,BUF,WR,136,189,22.01
179,Stephen Gostkowski,NE,K,169,184,5.63
180,Philadelphia Eagles,PHI,DST,152,205,19.68
181,New England Patriots,NE,DST,162,212,16.32
182,Chris Thompson,WAS,RB,118,205,35.52
183,Noah Fant,DEN,TE,125,213,37.53
184,Ka'imi Fairbairn,HOU,K,166,192,12.04
185,New Orleans Saints,NO,DST,174,187,5.07
186,Ito Smith,ATL,RB,110,148,19
187,Wil Lutz,NO,K,158,203,16.02
188,Denver Broncos,DEN,DST,175,193,6.83
189,Adam Humphries,TEN,WR,126,196,29.44
190,Parris Campbell,IND,WR,140,210,26.47
191,Buffalo Bills,BUF,DST,174,197,9.23
192,Kareem Hunt,CLE,RB,160,173,5.31
193,Quincy Enunwa,NYJ,WR,140,183,19.4
194,Ted Ginn,NO,WR,139,154,7.5
195,Seattle Seahawks,SEA,DST,167,226,20.05
196,Giovani Bernard,CIN,RB,150,157,3.5
197,D.K. Metcalf,SEA,WR,158,194,15.75
198,Devante Parker,MIA,WR,142,224,33.48
199,Joe Flacco,DEN,QB,174,226,19.51
200,Mike Davis,CHI,RB,164,167,1.5
201,Mason Crosby,GB,K,188,220,12.72
202,Jamaal Williams,GB,RB,165,169,2
203,Mike Gesicki,MIA,TE,167,169,1
204,Taylor Gabriel,CHI,WR,178,210,14.64
205,Robbie Gould,SF,K,194,210,6.18
206,Rashard Higgins,CLE,WR,166,208,17.66
207,Michael Badgley,LAC,K,193,208,5.76
208,Darren Waller,OAK,TE,124,221,48.5
209,Gerald Everett,LAR,TE,127,219,46
210,Malcolm Brown,LAR,RB,138,209,35.5
211,Brett Maher,DAL,K,190,222,11.67
212,Kansas City Chiefs,KC,DST,191,214,8.56
213,Carlos Hyde,KC,RB,126,126,0
214,Albert Wilson,MIA,WR,171,189,9
215,Matt Prater,DET,K,192,227,14.2
216,Tennessee Titans,TEN,DST,193,216,9.82
217,Indianapolis Colts,IND,DST,186,228,15.45
218,Jake Elliott,PHI,K,196,215,8.04
219,Mecole Hardman,KC,WR,184,191,3.5
220,Marcus Mariota,TEN,QB,172,231,22.43
221,Jalen Richard,OAK,RB,146,146,0
222,Jalen Hurd,SF,WR,182,198,8
223,Robert Foster,BUF,WR,187,195,4
224,Tyler Eifert,CIN,TE,180,204,12
225,Andy Isabella,ARI,WR,182,202,10
226,Pittsburgh Steelers,PIT,DST,198,225,10.61
227,Will Dissly,SEA,TE,157,157,0
228,Randall Cobb,DAL,WR,187,202,7.5
229,Rex Burkhead,NE,RB,168,222,27
230,Nelson Agholor,PHI,WR,159,159,0
231,Ty Montgomery,NYJ,RB,163,163,0
232,Jordan Thomas,HOU,TE,163,163,0
233,Carolina Panthers,CAR,DST,201,222,8.73
234,Ryan Fitzpatrick,MIA,QB,197,230,13.48
235,C.J. Anderson,DET,RB,170,170,0
236,Jerick McKinnon,SF,RB,172,172,0
237,Adam Vinatieri,IND,K,201,230,11.07
238,Danny Amendola,DET,WR,173,173,0
239,Elijah McGuire,NYJ,RB,176,176,0
240,Ian Thomas,CAR,TE,176,176,0
241,Jason Myers,SEA,K,207,218,4.64
242,Miles Boykin,BAL,WR,178,178,0
243,Marqise Lee,JAC,WR,179,179,0
244,Antonio Callaway,CLE,WR,185,185,0
245,Aldrick Rosas,NYG,K,203,231,11.44
246,Graham Gano,CAR,K,202,217,7.5
247,KeeSean Johnson,ARI,WR,206,213,3.5
248,Chase Edmonds,ARI,RB,201,221,10
249,Trey Quinn,WAS,WR,192,192,0
250,D.J. Chark,JAC,WR,192,192,0
251,Ricky Seals-Jones,ARI,TE,195,195,0
252,Ryan Succop,TEN,K,209,228,8.04
253,Eli Manning,NYG,QB,210,236,9.28
254,Josh Lambo,JAC,K,213,217,2
255,Giorgio Tavecchio,ATL,K,199,199,0
256,Josh Doctson,WAS,WR,200,200,0
257,A.J. Brown,TEN,WR,200,200,0
258,Steven Hauschka,BUF,K,215,219,2
259,Cairo Santos,TB,K,217,217,0
260,Chris Boswell,PIT,K,211,232,8.65
261,Josh Reynolds,LAR,WR,205,205,0
262,Kenneth Dixon,BAL,RB,206,206,0
263,John Ross,CIN,WR,207,207,0
264,Frank Gore,BUF,RB,208,208,0
265,Brandon McManus,DEN,K,212,230,9
266,Greg Joseph,CLE,K,214,228,7
267,Josh Rosen,MIA,QB,211,211,0
268,Diontae Johnson,PIT,WR,211,211,0
269,Dan Bailey,MIN,K,216,227,5.5
270,Jaron Brown,SEA,WR,212,212,0
271,Cameron Brate,TB,TE,216,216,0
272,New York Jets,NYJ,DST,221,221,0
273,Benny Snell Jr.,PIT,RB,223,223,0
274,Matt Bryant,FA,K,225,225,0
275,Case Keenum,WAS,QB,229,231,1
276,Atlanta Falcons,ATL,DST,229,229,0
277,Dwayne Haskins,WAS,QB,229,229,0
278,Green Bay Packers,GB,DST,233,233,0
279,Arizona Cardinals,ARI,DST,234,234,0
280,Detroit Lions,DET,DST,235,235,0
