Pos,Player,Team,Berry,Karabell,Yates,Cockcroft,Clay,Dopp
QB,Lamar Jackson,ÊBal,1,2,1,1,1,1
QB,Patrick Mahomes,ÊKC,2,1,2,2,2,2
QB,Dak Prescott,ÊDal,3,3,4,4,5,3
QB,Kyler Murray,ÊAri,4,4,3,5,4,4
QB,Deshaun Watson,ÊHou,6,5,5,3,3,5
QB,Russell Wilson,ÊSea,5,6,6,6,6,6
QB,Matt Ryan,ÊAtl,10,8,8,7,7,9
QB,Josh Allen,ÊBuf,8,11,7,8,10,7
QB,Tom Brady,ÊTB,7,7,10,11,8,12
QB,Carson Wentz,ÊPhi,11,10,11,10,9,8
QB,Drew Brees,ÊNO,9,9,9,9,11,13
QB,Daniel Jones,ÊNYG,12,13,13,14,14,11
QB,Matthew Stafford,ÊDet,15,15,15,13,12,14
QB,Cam Newton,ÊNE,13,16,12,18,16,10
QB,Aaron Rodgers,ÊGB,16,14,17,12,13,15
QB,Ben Roethlisberger,ÊPit,14,17,14,15,15,18
QB,Joe Burrow,ÊCin,21,12,16,22,22,16
QB,Baker Mayfield,ÊCle,18,21,19,16,19,17
QB,Jared Goff,ÊLAR,17,19,21,19,18,19
QB,Ryan Tannehill,ÊTen,19,22,18,17,17,21
QB,Gardner Minshew II,ÊJax,20,18,20,24,24,24
QB,Drew Lock,ÊDen,22,23,23,23,23,20
QB,Jimmy Garoppolo,ÊSF,27,25,25,20,20,22
QB,Kirk Cousins,ÊMin,26,20,28,21,21,23
QB,Philip Rivers,ÊInd,25,24,27,25,26,26
QB,Teddy Bridgewater,ÊCar,24,28,22,27,28,25
QB,Sam Darnold,ÊNYJ,23,26,29,28,27,27
QB,Derek Carr,ÊLV,28,30,30,26,25,28
QB,Tyrod Taylor,ÊLAC,29,27,26,,,
QB,Ryan Fitzpatrick,ÊMia,30,,24,,,
RB,ÊChristian McCaffrey,ÊCar,1,1,1,1,1,1
RB,ÊSaquon Barkley,ÊNYG,2,2,2,2,2,3
RB,ÊEzekiel Elliott,ÊDal,3,3,3,3,3,2
RB,ÊAlvin Kamara,ÊNO,4,5,4,4,4,4
RB,ÊDalvin Cook,ÊMin,5,4,5,5,5,5
RB,ÊDerrick Henry,ÊTen,7,9,6,6,6,6
RB,ÊClyde Edwards-Helaire,ÊKC,6,6,7,7,7,8
RB,ÊAustin Ekeler,ÊLAC,10,7,8,11,12,7
RB,ÊJoe Mixon,Cin,8,11,9,9,13,10
RB,ÊNick Chubb,ÊCle,12,8,11,12,10,9
RB,ÊAaron Jones,ÊGB,11,10,10,14,11,13
RB,ÊKenyan Drake,Ari,13,16,12,8,9,12
RB,ÊMiles Sanders,Phi,14,13,15,10,8,11
RB,ÊJosh Jacobs,ÊLV,9,12,14,13,14,14
RB,ÊChris Carson,ÊSea,15,14,18,15,15,17
RB,ÊLe'Veon Bell,ÊNYJ,17,17,16,18,19,18
RB,ÊDavid Johnson,ÊHou,16,27,13,19,18,16
RB,ÊLeonard Fournette,ÊJax,24,23,17,16,16,15
RB,ÊMelvin Gordon,ÊDen,18,15,22,20,20,19
RB,ÊTodd Gurley II,ÊAtl,19,24,21,17,17,20
RB,ÊJames Conner,ÊPit,21,25,19,21,21,21
RB,ÊDevin Singletary,ÊBuf,25,20,24,23,22,22
RB,ÊJonathan Taylor,ÊInd,23,18,23,22,24,27
RB,ÊKareem Hunt,ÊCle,20,21,26,24,25,26
RB,ÊD'Andre Swift,ÊDet,30,19,27,26,23,25
RB,ÊMark Ingram II,ÊBal,22,22,25,27,31,23
RB,ÊRaheem Mostert,ÊSF,26,28,20,30,30,24
RB,ÊCam Akers,ÊLAR,28,26,28,28,28,31
RB,ÊDavid Montgomery,ÊChi,40,29,29,25,26,28
RB,ÊRonald Jones II,TB,31,34,35,31,27,29
RB,ÊJames White,ÊNE,35,31,30,32,34,30
RB,ÊTarik Cohen,ÊChi,37,30,32,29,29,37
RB,ÊJordan Howard,ÊMia,27,36,31,33,35,34
RB,ÊKerryon Johnson,ÊDet,32,39,33,34,32,32
RB,ÊDarrell Henderson Jr, LAR,29,35,34,37,33,35
RB,JK Dobbins,ÊBal,36,32,36,35,37,40
RB,ÊPhillip Lindsay,ÊDen,38,46,37,36,36,38
RB,ÊTevin Coleman,ÊSF,33,41,42,42,40,41
RB,ÊLatavius Murray,ÊNO,42,37,39,40,41,43
RB,ÊMarlon Mack,ÊInd,39,40,38,44,48,33
RB,ÊMatt Breida,ÊMia,41,42,40,38,39,42
RB,ÊAntonio Gibson,ÊWsh,34,43,41,46,45,36
RB,ÊZack Moss,ÊBuf,43,45,45,41,38,47
RB,ÊDuke Johnson,ÊHou,49,44,43,39,42,50
RB,ÊKe'Shawn Vaughn,ÊTB,44,33,54,50,50,39
RB,ÊBoston Scott,ÊPhi,45,38,47,52,53,45
RB,ÊAlexander Mattison,ÊMin,47,49,51,47,43,46
RB,ÊSony Michel,ÊNE,51,50,57,43,49,44
RB,ÊTony Pollard,ÊDal,48,58,48,48,44,48
RB,ÊAdrian Peterson,ÊWsh,54,51,50,49,46,49
RB,ÊNyheim Hines,ÊInd,57,47,55,45,47,54
RB,ÊJustin Jackson,ÊLAC,50,48,61,51,51,51
RB,ÊChase Edmonds,ÊAri,46,66,46,53,60,59
RB,ÊJamaal Williams,ÊGB,58,53,44,55,70,52
RB,ÊDamien Harris,ÊNE,52,,53,58,56,63
RB,ÊAJ Dillon,ÊGB,55,62,,57,58,53
