Pos,Player,Team,ANDY BEHRENS8/28,SCOTT PIANOWSKI8/28,DALTON DEL DON8/25,LIZ LOZA8/24,MATT HARMON7/22
QB,Patrick Mahomes,KC,1,1,1,1,1
QB,Lamar Jackson,BAL,2,2,2,2,2
QB,Dak Prescott,DAL,3,4,3,3,3
QB,Russell Wilson,SEA,4,3,4,4,6
QB,Kyler Murray,ARI,5,5,5,5,4
QB,Deshaun Watson,HOU,6,7,7,6,7
QB,Matt Ryan,ATL,8,8,9,7,9
QB,Josh Allen,BUF,10,6,17,8,5
QB,Drew Brees,NO,11,10,8,9,8
QB,Matthew Stafford,DET,9,11,6,13,13
QB,Carson Wentz,PHI,7,9,16,10,14
QB,Ben Roethlisberger,PIT,16,12,13,15,12
QB,Tom Brady,TB,12,13,25,11,11
QB,Jared Goff,LAR,14,15,12,16,21
QB,Aaron Rodgers,GB,19,14,24,14,10
QB,Daniel Jones,NYG,18,16,10,18,20
QB,Baker Mayfield,CLE,17,17,23,17,15
QB,Joe Burrow,CIN,13,18,11,20,28
QB,Cam Newton,NE,15,22,29,12,16
QB,Ryan Tannehill,TEN,20,23,15,22,17
QB,Kirk Cousins,MIN,23,20,22,19,18
QB,Jimmy Garoppolo,SF,21,24,14,23,24
QB,Sam Darnold,NYJ,27,19,18,28,25
QB,Philip Rivers,IND,22,27,21,24,26
QB,Gardner Minshew II,JAC,24,21,19,27,30
QB,Teddy Bridgewater,CAR,26,26,20,26,23
QB,Derek Carr,LV,28,30,27,21,19
QB,Drew Lock,DEN,25,25,26,25,31
QB,Ryan Fitzpatrick,MIA,30,29,31,30,22
QB,Tyrod Taylor,LAC,29,28,32,29,29
QB,Nick Foles,CHI,32,31,30,32,27
QB,Dwayne Haskins,WAS,31,32,28,31,32
QB,Tua Tagovailoa,MIA,33,37,33,34,35
QB,Mitch Trubisky,CHI,35,33,42,33,34
QB,Justin Herbert,LAC,34,39,34,35,37
QB,Jameis Winston,NO,37,35,36,37,38
QB,Andy Dalton,DAL,,36,35,,36
QB,Jarrett Stidham,NE,,38,38,39,33
QB,Marcus Mariota,LV,38,34,40,40,40
QB,Taysom Hill,NO,36,,39,36,
QB,Jalen Hurts,PHI,39,,37,38,
QB,Jacoby Brissett,IND,,,,,39
QB,Nick Mullens,SF,,,41,,
RB,Christian McCaffrey,CAR,1,1,1,1,1
RB,Saquon Barkley,NYG,2,2,2,2,2
RB,Ezekiel Elliott,DAL,3,3,3,4,4
RB,Alvin Kamara,NO,4,4,6,3,3
RB,Derrick Henry,TEN,5,5,5,5,5
RB,Clyde Edwards-Helaire,KC,6,7,4,6,6
RB,Dalvin Cook,MIN,7,6,8,7,8
RB,Joe Mixon,CIN,14,8,7,8,7
RB,Miles Sanders,PHI,9,11,10,10,14
RB,Nick Chubb,CLE,11,9,13,11,10
RB,Josh Jacobs,LV,8,12,16,9,13
RB,Kenyan Drake,ARI,12,14,9,12,12
RB,Aaron Jones,GB,10,13,14,13,11
RB,Austin Ekeler,LAC,15,10,15,14,9
RB,James Conner,PIT,16,15,12,15,16
RB,Chris Carson,SEA,19,17,17,16,15
RB,Melvin Gordon,DEN,17,16,18,18,18
RB,Jonathan Taylor,IND,25,19,11,19,17
RB,Todd Gurley,ATL,18,20,27,17,20
RB,Mark Ingram II,BAL,13,18,23,20,30
RB,David Johnson,HOU,24,22,26,26,19
RB,Le'Veon Bell,NYJ,23,21,29,21,23
RB,Raheem Mostert,SF,22,24,20,24,28
RB,Leonard Fournette,JAC,21,25,28,23,22
RB,D'Andre Swift,DET,20,28,21,25,27
RB,Ronald Jones II,TB,29,23,24,30,24
RB,Cam Akers,LAR,27,27,19,29,32
RB,Kareem Hunt,CLE,26,32,25,27,25
RB,Jordan Howard,MIA,33,29,33,28,35
RB,David Montgomery,CHI,40,48,30,22,21
RB,J.K. Dobbins,BAL,36,37,22,36,31
RB,Devin Singletary,BUF,28,26,51,31,26
RB,Matt Breida,MIA,30,35,35,33,39
RB,James White,NE,32,31,43,32,34
RB,Zack Moss,BUF,31,33,34,41,37
RB,Tarik Cohen,CHI,39,30,44,38,41
RB,Tevin Coleman,SF,37,36,49,37,33
RB,Antonio Gibson,WAS,47,42,40,42,29
RB,Phillip Lindsay,DEN,35,34,58,35,38
RB,Latavius Murray,NO,45,43,32,43,43
RB,Damien Harris,NE,38,51,31,49,40
RB,Adrian Peterson,WAS,34,39,50,34,56
RB,Darrell Henderson,LAR,42,52,48,39,36
RB,Duke Johnson,HOU,44,46,42,47,45
RB,Marlon Mack,IND,46,41,56,40,42
RB,Alexander Mattison,MIN,43,45,47,45,50
RB,Tony Pollard,DAL,49,49,37,48,49
RB,Kerryon Johnson,DET,48,44,52,44,44
RB,Chase Edmonds,ARI,51,40,36,54,61
RB,Nyheim Hines,IND,52,53,41,50,47
RB,Boston Scott,PHI,66,50,38,51,46
RB,Sony Michel,NE,41,64,63,46,55
RB,DeAndre Washington,KC,64,47,60,58,51
RB,A.J. Dillon,GB,56,57,54,55,59
