Name,Team,Position,Position Rank
A.J. Green,Cin,WR,6
Aaron Rodgers,GB,QB,2
Adam Vinatieri,IND,K,6
Adrian Peterson,Min,RB,2
Alex Smith,KC,QB,25
Alfred Blue,Hou,RB,67
Alfred Morris,Dal,RB,62
Allen Hurns,Jac,WR,36
Allen Robinson,Jac,WR,7
Alshon Jeffery,Chi,WR,13
Amari Cooper,Oak,WR,11
Ameer Abdullah,Det,RB,30
Andre Ellington,Ari,RB,63
Andrew Franks,MIA,K,30
Andrew Luck,Ind,QB,4
Andy Dalton,Cin,QB,17
Antonio Brown,Pit,WR,1
Antonio Gates,SD,TE,11
Arian Foster,Mia,RB,27
Arizona Cardinals Defense,ARI,Def,3
Atlanta Falcons Defense,ATL,Def,30
Austin Seferian-Jenkins,TB,TE,23
Baltimore Ravens Defense,BAL,Def,18
Ben Roethlisberger,Pit,QB,6
Benjamin Watson,Bal,TE,24
Bilal Powell,NYJ,RB,41
Blair Walsh,MIN,K,10
Blake Bortles,Jac,QB,11
Brandin Cooks,NO,WR,16
Brandon Bolden,NE,RB,64
Brandon LaFell,Cin,WR,71
Brandon Marshall,NYJ,WR,9
Brandon McManus,DEN,K,13
Breshad Perriman,Bal,WR,66
Brock Osweiler,Hou,QB,26
Buffalo Bills Defense,BUF,Def,13
C.J. Anderson,Den,RB,13
C.J. Prosise,Sea,RB,55
C.J. Spiller,NO,RB,66
Cairo Santos,KC,K,12
Cam Newton,Car,QB,1
Cameron Artis-Payne,Car,RB,65
Carlos Hyde,SF,RB,12
Carolina Panthers Defense,CAR,Def,4
Carson Palmer,Ari,QB,7
Chandler Catanzaro,ARI,K,8
Charcandrick West,KC,RB,58
Charles Clay,Buf,TE,19
Charles Sims,TB,RB,36
Chicago Bears Defense,CHI,Def,24
Chris Boswell,PIT,K,9
Chris Ivory,Jac,RB,32
Chris Johnson,Ari,RB,56
Chris Thompson,Was,RB,53
Christine Michael,Sea,RB,45
Cincinnati Bengals Defense,CIN,Def,7
Cleveland Browns Defense,CLE,Def,27
Clive Walford,Oak,TE,22
Coby Fleener,NO,TE,7
Cody Parkey,PHI,K,29
Colin Kaepernick,SF,QB,30
Connor Barth,NO,K,26
Corey Coleman,Cle,WR,39
Dallas Cowboys Defense,DAL,Def,29
Dan Bailey,DAL,K,4
Dan Carpenter,BUF,K,16
Danny Amendola,NE,WR,65
Danny Woodhead,SD,RB,28
Darren McFadden,Dal,RB,68
Darren Sproles,Phi,RB,46
David Johnson,Ari,RB,5
DeAndre Hopkins,Hou,WR,4
DeAngelo Williams,Pit,RB,35
Delanie Walker,Ten,TE,5
DeMarco Murray,Ten,RB,18
Demaryius Thomas,Den,WR,19
Denver Broncos Defense,DEN,Def,2
Derek Carr,Oak,QB,15
Derrick Henry,Ten,RB,38
DeSean Jackson,Was,WR,31
Detroit Lions Defense,DET,Def,21
DeVante Parker,Mia,WR,33
Devin Funchess,Car,WR,51
Devonta Freeman,Atl,RB,6
Devontae Booker,Den,RB,61
Dez Bryant,Dal,WR,5
Dion Lewis,NE,RB,69
Donte Moncrief,Ind,WR,26
Dorial Green-Beckham,Ten,WR,54
Doug Baldwin,Sea,WR,27
Doug Martin,TB,RB,10
Drew Brees,NO,QB,5
Duke Johnson Jr.,Cle,RB,26
Dustin Hopkins,WAS,K,24
Dwayne Allen,Ind,TE,17
Eddie Lacy,GB,RB,9
Eli Manning,NYG,QB,8
Emmanuel Sanders,Den,WR,29
Eric Decker,NYJ,WR,15
Eric Ebron,Det,TE,12
Ezekiel Elliott,Dal,RB,4
Frank Gore,Ind,RB,25
Gary Barnidge,Cle,TE,8
Giovani Bernard,Cin,RB,29
Golden Tate,Det,WR,25
Graham Gano,CAR,K,7
Green Bay Packers Defense,GB,Def,12
Greg Olsen,Car,TE,3
Greg Zuerlein,LA,K,28
Houston Texans Defense,HOU,Def,5
Indianapolis Colts Defense,IND,Def,25
Isaiah Crowell,Cle,RB,42
Jacksonville Jaguars Defense,JAC,Def,15
Jaelen Strong,Hou,WR,68
Jamaal Charles,KC,RB,7
Jameis Winston,TB,QB,18
James Starks,GB,RB,47
James White,NE,RB,49
Jared Cook,GB,TE,21
Jared Goff,StL,QB,32
Jarvis Landry,Mia,WR,21
Jason Myers,JAC,K,25
Jason Witten,Dal,TE,16
Javorius Allen,Bal,RB,44
Jay Ajayi,Mia,RB,37
Jay Cutler,Chi,QB,24
Jeremy Hill,Cin,RB,19
Jeremy Langford,Chi,RB,23
Jeremy Maclin,KC,WR,23
Jerick McKinnon,Min,RB,48
Jermaine Kearse,Sea,WR,73
Jesse James,Pit,TE,28
Jimmy Graham,Sea,TE,13
Joe Flacco,Bal,QB,23
John Brown,Ari,WR,18
Jonathan Stewart,Car,RB,21
Jordan Cameron,Mia,TE,20
Jordan Matthews,Phi,WR,74
Jordan Reed,Was,TE,2
Jordy Nelson,GB,WR,8
Josh Brown,NYG,K,14
Josh Doctson,Was,WR,60
Josh Gordon ,Cle,WR,50
Josh Lambo,SD,K,21
Julian Edelman,NE,WR,22
Julio Jones,Atl,WR,3
Julius Thomas,Jac,TE,10
Justin Forsett,Bal,RB,34
Justin Tucker,BAL,K,3
Ka'Deem Carey,Chi,RB,57
Kamar Aiken,Bal,WR,47
Kansas City Chiefs Defense,KC,Def,6
Karlos Williams,Buf,RB,59
Keenan Allen,SD,WR,14
